region,year,month,value,indicator
전국,1997,1,55.786,cpi
전국,1997,2,56.097,cpi
전국,1997,3,56.305,cpi
전국,1997,4,56.565,cpi
전국,1997,5,56.617,cpi
전국,1997,6,56.721,cpi
전국,1997,7,56.825,cpi
전국,1997,8,57.24,cpi
전국,1997,9,57.502,cpi
전국,1997,10,57.502,cpi
전국,1997,11,57.553,cpi
전국,1997,12,59.009,cpi
전국,1998,1,60.413,cpi
전국,1998,2,61.453,cpi
전국,1998,3,61.349,cpi
전국,1998,4,61.557,cpi
전국,1998,5,61.245,cpi
전국,1998,6,60.985,cpi
전국,1998,7,60.985,cpi
전국,1998,8,61.192,cpi
전국,1998,9,61.453,cpi
전국,1998,10,61.66,cpi
전국,1998,11,61.453,cpi
전국,1998,12,61.349,cpi
전국,1999,1,61.297,cpi
전국,1999,2,61.557,cpi
전국,1999,3,61.66,cpi
전국,1999,4,61.816,cpi
전국,1999,5,61.712,cpi
전국,1999,6,61.349,cpi
전국,1999,7,61.14,cpi
전국,1999,8,61.765,cpi
전국,1999,9,61.921,cpi
전국,1999,10,62.389,cpi
전국,1999,11,62.284,cpi
전국,1999,12,62.18,cpi
전국,2000,1,62.456,cpi
전국,2000,2,62.647,cpi
전국,2000,3,62.962,cpi
전국,2000,4,62.709,cpi
전국,2000,5,62.393,cpi
전국,2000,6,62.709,cpi
전국,2000,7,62.962,cpi
전국,2000,8,63.277,cpi
전국,2000,9,64.098,cpi
전국,2000,10,64.035,cpi
전국,2000,11,63.656,cpi
전국,2000,12,63.908,cpi
전국,2001,1,64.604,cpi
전국,2001,2,64.919,cpi
전국,2001,3,65.488,cpi
전국,2001,4,65.74,cpi
전국,2001,5,65.677,cpi
전국,2001,6,65.866,cpi
전국,2001,7,65.992,cpi
전국,2001,8,66.245,cpi
전국,2001,9,66.182,cpi
전국,2001,10,66.182,cpi
전국,2001,11,65.804,cpi
전국,2001,12,65.93,cpi
전국,2002,1,66.308,cpi
전국,2002,2,66.624,cpi
전국,2002,3,67.003,cpi
전국,2002,4,67.382,cpi
전국,2002,5,67.634,cpi
전국,2002,6,67.571,cpi
전국,2002,7,67.382,cpi
전국,2002,8,67.824,cpi
전국,2002,9,68.204,cpi
전국,2002,10,68.013,cpi
전국,2002,11,68.077,cpi
전국,2002,12,68.391,cpi
전국,2003,1,68.835,cpi
전국,2003,2,69.213,cpi
전국,2003,3,70.034,cpi
전국,2003,4,69.908,cpi
전국,2003,5,69.782,cpi
전국,2003,6,69.592,cpi
전국,2003,7,69.53,cpi
전국,2003,8,69.845,cpi
전국,2003,9,70.477,cpi
전국,2003,10,70.539,cpi
전국,2003,11,70.413,cpi
전국,2003,12,70.73,cpi
전국,2004,1,71.172,cpi
전국,2004,2,71.487,cpi
전국,2004,3,72.181,cpi
전국,2004,4,72.181,cpi
전국,2004,5,72.119,cpi
전국,2004,6,72.119,cpi
전국,2004,7,72.561,cpi
전국,2004,8,73.191,cpi
전국,2004,9,73.191,cpi
전국,2004,10,73.191,cpi
전국,2004,11,72.75,cpi
전국,2004,12,72.877,cpi
전국,2005,1,73.594,cpi
전국,2005,2,73.892,cpi
전국,2005,3,74.338,cpi
전국,2005,4,74.413,cpi
전국,2005,5,74.338,cpi
전국,2005,6,74.114,cpi
전국,2005,7,74.413,cpi
전국,2005,8,74.636,cpi
전국,2005,9,75.008,cpi
전국,2005,10,74.859,cpi
전국,2005,11,74.561,cpi
전국,2005,12,74.785,cpi
전국,2006,1,75.231,cpi
전국,2006,2,75.381,cpi
전국,2006,3,75.827,cpi
전국,2006,4,75.902,cpi
전국,2006,5,76.05,cpi
전국,2006,6,75.902,cpi
전국,2006,7,76.199,cpi
전국,2006,8,76.645,cpi
전국,2006,9,76.868,cpi
전국,2006,10,76.496,cpi
전국,2006,11,76.125,cpi
전국,2006,12,76.348,cpi
전국,2007,1,76.496,cpi
전국,2007,2,77.017,cpi
전국,2007,3,77.464,cpi
전국,2007,4,77.761,cpi
전국,2007,5,77.836,cpi
전국,2007,6,77.836,cpi
전국,2007,7,78.134,cpi
전국,2007,8,78.208,cpi
전국,2007,9,78.655,cpi
전국,2007,10,78.803,cpi
전국,2007,11,78.803,cpi
전국,2007,12,79.101,cpi
전국,2008,1,79.472,cpi
전국,2008,2,79.771,cpi
전국,2008,3,80.515,cpi
전국,2008,4,80.962,cpi
전국,2008,5,81.63,cpi
전국,2008,6,82.151,cpi
전국,2008,7,82.747,cpi
전국,2008,8,82.598,cpi
전국,2008,9,82.673,cpi
전국,2008,10,82.598,cpi
전국,2008,11,82.375,cpi
전국,2008,12,82.375,cpi
전국,2009,1,82.45,cpi
전국,2009,2,83.045,cpi
전국,2009,3,83.64,cpi
전국,2009,4,83.862,cpi
전국,2009,5,83.862,cpi
전국,2009,6,83.788,cpi
전국,2009,7,84.086,cpi
전국,2009,8,84.384,cpi
전국,2009,9,84.459,cpi
전국,2009,10,84.235,cpi
전국,2009,11,84.384,cpi
전국,2009,12,84.682,cpi
전국,2010,1,85.351,cpi
전국,2010,2,85.523,cpi
전국,2010,3,85.696,cpi
전국,2010,4,86.041,cpi
전국,2010,5,86.128,cpi
전국,2010,6,86.041,cpi
전국,2010,7,86.214,cpi
전국,2010,8,86.647,cpi
전국,2010,9,87.337,cpi
전국,2010,10,87.337,cpi
전국,2010,11,86.906,cpi
전국,2010,12,87.251,cpi
전국,2011,1,88.288,cpi
전국,2011,2,88.892,cpi
전국,2011,3,89.238,cpi
전국,2011,4,89.325,cpi
전국,2011,5,89.497,cpi
전국,2011,6,89.67,cpi
전국,2011,7,90.102,cpi
전국,2011,8,90.707,cpi
전국,2011,9,90.62,cpi
전국,2011,10,90.448,cpi
전국,2011,11,90.534,cpi
전국,2011,12,90.879,cpi
전국,2012,1,91.242,cpi
전국,2012,2,91.588,cpi
전국,2012,3,91.614,cpi
전국,2012,4,91.605,cpi
전국,2012,5,91.769,cpi
전국,2012,6,91.639,cpi
전국,2012,7,91.432,cpi
전국,2012,8,91.855,cpi
전국,2012,9,92.512,cpi
전국,2012,10,92.339,cpi
전국,2012,11,92.011,cpi
전국,2012,12,92.175,cpi
전국,2013,1,92.728,cpi
전국,2013,2,93.038,cpi
전국,2013,3,92.952,cpi
전국,2013,4,92.823,cpi
전국,2013,5,92.823,cpi
전국,2013,6,92.71,cpi
전국,2013,7,92.909,cpi
전국,2013,8,93.238,cpi
전국,2013,9,93.419,cpi
전국,2013,10,93.134,cpi
전국,2013,11,93.116,cpi
전국,2013,12,93.229,cpi
전국,2014,1,93.73,cpi
전국,2014,2,93.98,cpi
전국,2014,3,94.153,cpi
전국,2014,4,94.214,cpi
전국,2014,5,94.369,cpi
전국,2014,6,94.248,cpi
전국,2014,7,94.386,cpi
전국,2014,8,94.551,cpi
전국,2014,9,94.49,cpi
전국,2014,10,94.205,cpi
전국,2014,11,94.015,cpi
전국,2014,12,94.006,cpi
전국,2015,1,94.643,cpi
전국,2015,2,94.587,cpi
전국,2015,3,94.596,cpi
전국,2015,4,94.625,cpi
전국,2015,5,94.89,cpi
전국,2015,6,94.909,cpi
전국,2015,7,95.08,cpi
전국,2015,8,95.213,cpi
전국,2015,9,94.966,cpi
전국,2015,10,94.966,cpi
전국,2015,11,94.786,cpi
전국,2015,12,95.07,cpi
전국,2016,1,95.232,cpi
전국,2016,2,95.64,cpi
전국,2016,3,95.393,cpi
전국,2016,4,95.573,cpi
전국,2016,5,95.63,cpi
전국,2016,6,95.611,cpi
전국,2016,7,95.431,cpi
전국,2016,8,95.677,cpi
전국,2016,9,96.247,cpi
전국,2016,10,96.379,cpi
전국,2016,11,96.237,cpi
전국,2016,12,96.342,cpi
전국,2017,1,97.366,cpi
전국,2017,2,97.632,cpi
전국,2017,3,97.565,cpi
전국,2017,4,97.442,cpi
전국,2017,5,97.546,cpi
전국,2017,6,97.338,cpi
전국,2017,7,97.499,cpi
전국,2017,8,98.058,cpi
전국,2017,9,98.172,cpi
전국,2017,10,98.077,cpi
전국,2017,11,97.347,cpi
전국,2017,12,97.698,cpi
전국,2018,1,98.106,cpi
전국,2018,2,98.855,cpi
전국,2018,3,98.751,cpi
전국,2018,4,98.931,cpi
전국,2018,5,98.979,cpi
전국,2018,6,98.779,cpi
전국,2018,7,98.59,cpi
전국,2018,8,99.462,cpi
전국,2018,9,100.221,cpi
전국,2018,10,100.041,cpi
전국,2018,11,99.33,cpi
전국,2018,12,98.988,cpi
전국,2019,1,98.884,cpi
전국,2019,2,99.311,cpi
전국,2019,3,99.121,cpi
전국,2019,4,99.481,cpi
전국,2019,5,99.652,cpi
전국,2019,6,99.491,cpi
전국,2019,7,99.187,cpi
전국,2019,8,99.425,cpi
전국,2019,9,99.794,cpi
전국,2019,10,100.041,cpi
전국,2019,11,99.481,cpi
전국,2019,12,99.719,cpi
전국,2020,1,100.09,cpi
전국,2020,2,100.16,cpi
전국,2020,3,99.94,cpi
전국,2020,4,99.5,cpi
전국,2020,5,99.44,cpi
전국,2020,6,99.71,cpi
전국,2020,7,99.63,cpi
전국,2020,8,100.19,cpi
전국,2020,9,100.74,cpi
전국,2020,10,100.18,cpi
전국,2020,11,100.09,cpi
전국,2020,12,100.33,cpi
전국,2021,1,101.04,cpi
전국,2021,2,101.58,cpi
전국,2021,3,101.84,cpi
전국,2021,4,101.98,cpi
전국,2021,5,102.05,cpi
전국,2021,6,102.05,cpi
전국,2021,7,102.26,cpi
전국,2021,8,102.75,cpi
전국,2021,9,103.17,cpi
전국,2021,10,103.35,cpi
전국,2021,11,103.87,cpi
전국,2021,12,104.04,cpi
전국,2022,1,104.85,cpi
전국,2022,2,105.42,cpi
전국,2022,3,106.1,cpi
전국,2022,4,106.83,cpi
전국,2022,5,107.5,cpi
전국,2022,6,108.21,cpi
전국,2022,7,108.73,cpi
전국,2022,8,108.63,cpi
전국,2022,9,108.82,cpi
전국,2022,10,109.16,cpi
전국,2022,11,109.07,cpi
전국,2022,12,109.26,cpi
전국,2023,1,110.07,cpi
전국,2023,2,110.33,cpi
전국,2023,3,110.52,cpi
전국,2023,4,110.77,cpi
전국,2023,5,111.13,cpi
전국,2023,6,111.16,cpi
전국,2023,7,111.29,cpi
전국,2023,8,112.28,cpi
전국,2023,9,112.85,cpi
전국,2023,10,113.27,cpi
전국,2023,11,112.68,cpi
전국,2023,12,112.73,cpi
전국,2024,1,113.17,cpi
전국,2024,2,113.78,cpi
전국,2024,3,113.95,cpi
전국,2024,4,114.01,cpi
전국,2024,5,114.1,cpi
전국,2024,6,113.84,cpi
전국,2024,7,114.13,cpi
전국,2024,8,114.54,cpi
전국,2024,9,114.65,cpi
전국,2024,10,114.69,cpi
전국,2024,11,114.4,cpi
전국,2024,12,114.91,cpi
전국,2025,1,115.71,cpi
전국,2025,2,116.08,cpi
