region,year,month,value,indicator
전국,2020,1,100.09,cpi
전국,2020,2,100.16,cpi
전국,2020,3,99.94,cpi
전국,2020,4,99.5,cpi
전국,2020,5,99.44,cpi
전국,2020,6,99.71,cpi
전국,2020,7,99.63,cpi
전국,2020,8,100.19,cpi
전국,2020,9,100.74,cpi
전국,2020,10,100.18,cpi
전국,2020,11,100.09,cpi
전국,2020,12,100.33,cpi
전국,2021,1,101.04,cpi
전국,2021,2,101.58,cpi
전국,2021,3,101.84,cpi
전국,2021,4,101.98,cpi
전국,2021,5,102.05,cpi
전국,2021,6,102.05,cpi
전국,2021,7,102.26,cpi
전국,2021,8,102.75,cpi
전국,2021,9,103.17,cpi
전국,2021,10,103.35,cpi
전국,2021,11,103.87,cpi
전국,2021,12,104.04,cpi
전국,2022,1,104.85,cpi
전국,2022,2,105.42,cpi
전국,2022,3,106.1,cpi
전국,2022,4,106.83,cpi
전국,2022,5,107.5,cpi
전국,2022,6,108.21,cpi
전국,2022,7,108.73,cpi
전국,2022,8,108.63,cpi
전국,2022,9,108.82,cpi
전국,2022,10,109.16,cpi
전국,2022,11,109.07,cpi
전국,2022,12,109.26,cpi
전국,2023,1,110.07,cpi
전국,2023,2,110.33,cpi
전국,2023,3,110.52,cpi
전국,2023,4,110.77,cpi
전국,2023,5,111.13,cpi
전국,2023,6,111.16,cpi
전국,2023,7,111.29,cpi
전국,2023,8,112.28,cpi
전국,2023,9,112.85,cpi
전국,2023,10,113.27,cpi
전국,2023,11,112.68,cpi
전국,2023,12,112.73,cpi
전국,2024,1,113.17,cpi
전국,2024,2,113.78,cpi
전국,2024,3,113.95,cpi
전국,2024,4,114.01,cpi
전국,2024,5,114.1,cpi
전국,2024,6,113.84,cpi
전국,2024,7,114.13,cpi
전국,2024,8,114.54,cpi
전국,2024,9,114.65,cpi
전국,2024,10,114.69,cpi
전국,2024,11,114.4,cpi
전국,2024,12,114.91,cpi
