region,year,value
서울특별시,1997.0,56.97683333333333
부산광역시,1997.0,56.97683333333333
대구광역시,1997.0,56.97683333333333
인천광역시,1997.0,56.97683333333333
광주광역시,1997.0,56.97683333333333
대전광역시,1997.0,56.97683333333333
울산광역시,1997.0,56.97683333333333
세종특별자치시,1997.0,56.97683333333333
경기도,1997.0,56.97683333333333
강원도,1997.0,56.97683333333333
충청북도,1997.0,56.97683333333333
충청남도,1997.0,56.97683333333333
전라북도,1997.0,56.97683333333333
전라남도,1997.0,56.97683333333333
경상북도,1997.0,56.97683333333333
경상남도,1997.0,56.97683333333333
제주특별자치도,1997.0,56.97683333333333
서울특별시,1998.0,61.25783333333334
부산광역시,1998.0,61.25783333333334
대구광역시,1998.0,61.25783333333334
인천광역시,1998.0,61.25783333333334
광주광역시,1998.0,61.25783333333334
대전광역시,1998.0,61.25783333333334
울산광역시,1998.0,61.25783333333334
세종특별자치시,1998.0,61.25783333333334
경기도,1998.0,61.25783333333334
강원도,1998.0,61.25783333333334
충청북도,1998.0,61.25783333333334
충청남도,1998.0,61.25783333333334
전라북도,1998.0,61.25783333333334
전라남도,1998.0,61.25783333333334
경상북도,1998.0,61.25783333333334
경상남도,1998.0,61.25783333333334
제주특별자치도,1998.0,61.25783333333334
서울특별시,1999.0,61.755833333333335
부산광역시,1999.0,61.755833333333335
대구광역시,1999.0,61.755833333333335
인천광역시,1999.0,61.755833333333335
광주광역시,1999.0,61.755833333333335
대전광역시,1999.0,61.755833333333335
울산광역시,1999.0,61.755833333333335
세종특별자치시,1999.0,61.755833333333335
경기도,1999.0,61.755833333333335
강원도,1999.0,61.755833333333335
충청북도,1999.0,61.755833333333335
충청남도,1999.0,61.755833333333335
전라북도,1999.0,61.755833333333335
전라남도,1999.0,61.755833333333335
경상북도,1999.0,61.755833333333335
경상남도,1999.0,61.755833333333335
제주특별자치도,1999.0,61.755833333333335
서울특별시,2000.0,63.151
부산광역시,2000.0,63.151
대구광역시,2000.0,63.151
인천광역시,2000.0,63.151
광주광역시,2000.0,63.151
대전광역시,2000.0,63.151
울산광역시,2000.0,63.151
세종특별자치시,2000.0,63.151
경기도,2000.0,63.151
강원도,2000.0,63.151
충청북도,2000.0,63.151
충청남도,2000.0,63.151
전라북도,2000.0,63.151
전라남도,2000.0,63.151
