region,year,month,value,indicator
제조업전체,1997,1,44.4,manufacturing_production_index
제조업전체,1997,2,44.0,manufacturing_production_index
제조업전체,1997,3,51.0,manufacturing_production_index
제조업전체,1997,4,53.0,manufacturing_production_index
제조업전체,1997,5,52.3,manufacturing_production_index
제조업전체,1997,6,51.6,manufacturing_production_index
제조업전체,1997,7,48.9,manufacturing_production_index
제조업전체,1997,8,46.3,manufacturing_production_index
제조업전체,1997,9,51.0,manufacturing_production_index
제조업전체,1997,10,53.0,manufacturing_production_index
제조업전체,1997,11,51.7,manufacturing_production_index
제조업전체,1997,12,52.0,manufacturing_production_index
제조업전체,1998,1,39.6,manufacturing_production_index
제조업전체,1998,2,44.8,manufacturing_production_index
제조업전체,1998,3,42.2,manufacturing_production_index
제조업전체,1998,4,43.5,manufacturing_production_index
제조업전체,1998,5,43.9,manufacturing_production_index
제조업전체,1998,6,41.4,manufacturing_production_index
제조업전체,1998,7,37.3,manufacturing_production_index
제조업전체,1998,8,38.1,manufacturing_production_index
제조업전체,1998,9,42.4,manufacturing_production_index
제조업전체,1998,10,41.6,manufacturing_production_index
제조업전체,1998,11,45.3,manufacturing_production_index
제조업전체,1998,12,46.6,manufacturing_production_index
제조업전체,1999,1,44.2,manufacturing_production_index
제조업전체,1999,2,42.7,manufacturing_production_index
제조업전체,1999,3,55.4,manufacturing_production_index
제조업전체,1999,4,55.6,manufacturing_production_index
제조업전체,1999,5,58.2,manufacturing_production_index
제조업전체,1999,6,61.9,manufacturing_production_index
제조업전체,1999,7,58.6,manufacturing_production_index
제조업전체,1999,8,54.8,manufacturing_production_index
제조업전체,1999,9,56.9,manufacturing_production_index
제조업전체,1999,10,64.6,manufacturing_production_index
제조업전체,1999,11,71.2,manufacturing_production_index
제조업전체,1999,12,74.7,manufacturing_production_index
제조업전체,2000,1,65.5,manufacturing_production_index
제조업전체,2000,2,63.0,manufacturing_production_index
제조업전체,2000,3,73.5,manufacturing_production_index
제조업전체,2000,4,71.0,manufacturing_production_index
제조업전체,2000,5,74.5,manufacturing_production_index
제조업전체,2000,6,75.9,manufacturing_production_index
제조업전체,2000,7,74.2,manufacturing_production_index
제조업전체,2000,8,74.8,manufacturing_production_index
제조업전체,2000,9,72.5,manufacturing_production_index
제조업전체,2000,10,77.2,manufacturing_production_index
제조업전체,2000,11,77.0,manufacturing_production_index
제조업전체,2000,12,75.5,manufacturing_production_index
제조업전체,2001,1,63.0,manufacturing_production_index
제조업전체,2001,2,67.6,manufacturing_production_index
제조업전체,2001,3,76.9,manufacturing_production_index
제조업전체,2001,4,74.0,manufacturing_production_index
제조업전체,2001,5,75.2,manufacturing_production_index
제조업전체,2001,6,77.2,manufacturing_production_index
제조업전체,2001,7,69.9,manufacturing_production_index
제조업전체,2001,8,69.4,manufacturing_production_index
제조업전체,2001,9,74.3,manufacturing_production_index
제조업전체,2001,10,75.9,manufacturing_production_index
제조업전체,2001,11,77.1,manufacturing_production_index
제조업전체,2001,12,82.1,manufacturing_production_index
제조업전체,2002,1,75.5,manufacturing_production_index
제조업전체,2002,2,71.1,manufacturing_production_index
제조업전체,2002,3,82.6,manufacturing_production_index
제조업전체,2002,4,82.2,manufacturing_production_index
제조업전체,2002,5,81.5,manufacturing_production_index
제조업전체,2002,6,78.6,manufacturing_production_index
제조업전체,2002,7,78.3,manufacturing_production_index
제조업전체,2002,8,76.0,manufacturing_production_index
제조업전체,2002,9,76.3,manufacturing_production_index
제조업전체,2002,10,82.6,manufacturing_production_index
제조업전체,2002,11,85.7,manufacturing_production_index
제조업전체,2002,12,89.0,manufacturing_production_index
제조업전체,2003,1,76.5,manufacturing_production_index
제조업전체,2003,2,75.7,manufacturing_production_index
제조업전체,2003,3,87.1,manufacturing_production_index
제조업전체,2003,4,84.1,manufacturing_production_index
제조업전체,2003,5,82.6,manufacturing_production_index
제조업전체,2003,6,84.3,manufacturing_production_index
제조업전체,2003,7,74.9,manufacturing_production_index
제조업전체,2003,8,72.8,manufacturing_production_index
제조업전체,2003,9,76.9,manufacturing_production_index
제조업전체,2003,10,81.4,manufacturing_production_index
제조업전체,2003,11,79.2,manufacturing_production_index
제조업전체,2003,12,84.9,manufacturing_production_index
제조업전체,2004,1,69.1,manufacturing_production_index
제조업전체,2004,2,80.9,manufacturing_production_index
제조업전체,2004,3,88.5,manufacturing_production_index
제조업전체,2004,4,84.5,manufacturing_production_index
제조업전체,2004,5,83.2,manufacturing_production_index
제조업전체,2004,6,87.5,manufacturing_production_index
제조업전체,2004,7,79.3,manufacturing_production_index
제조업전체,2004,8,74.7,manufacturing_production_index
제조업전체,2004,9,79.0,manufacturing_production_index
제조업전체,2004,10,83.0,manufacturing_production_index
제조업전체,2004,11,83.8,manufacturing_production_index
제조업전체,2004,12,88.5,manufacturing_production_index
제조업전체,2005,1,79.3,manufacturing_production_index
제조업전체,2005,2,70.9,manufacturing_production_index
제조업전체,2005,3,89.1,manufacturing_production_index
제조업전체,2005,4,88.8,manufacturing_production_index
제조업전체,2005,5,83.7,manufacturing_production_index
제조업전체,2005,6,85.9,manufacturing_production_index
제조업전체,2005,7,80.5,manufacturing_production_index
제조업전체,2005,8,73.9,manufacturing_production_index
제조업전체,2005,9,79.6,manufacturing_production_index
제조업전체,2005,10,81.9,manufacturing_production_index
제조업전체,2005,11,85.9,manufacturing_production_index
제조업전체,2005,12,92.9,manufacturing_production_index
제조업전체,2006,1,78.6,manufacturing_production_index
제조업전체,2006,2,81.4,manufacturing_production_index
제조업전체,2006,3,93.7,manufacturing_production_index
제조업전체,2006,4,89.6,manufacturing_production_index
제조업전체,2006,5,92.9,manufacturing_production_index
제조업전체,2006,6,92.3,manufacturing_production_index
제조업전체,2006,7,82.9,manufacturing_production_index
제조업전체,2006,8,83.4,manufacturing_production_index
제조업전체,2006,9,95.5,manufacturing_production_index
제조업전체,2006,10,85.9,manufacturing_production_index
제조업전체,2006,11,97.8,manufacturing_production_index
제조업전체,2006,12,97.5,manufacturing_production_index
제조업전체,2007,1,92.7,manufacturing_production_index
제조업전체,2007,2,87.2,manufacturing_production_index
제조업전체,2007,3,102.5,manufacturing_production_index
제조업전체,2007,4,96.8,manufacturing_production_index
제조업전체,2007,5,100.1,manufacturing_production_index
제조업전체,2007,6,100.6,manufacturing_production_index
제조업전체,2007,7,95.9,manufacturing_production_index
제조업전체,2007,8,91.2,manufacturing_production_index
제조업전체,2007,9,87.2,manufacturing_production_index
제조업전체,2007,10,98.7,manufacturing_production_index
제조업전체,2007,11,102.5,manufacturing_production_index
제조업전체,2007,12,107.8,manufacturing_production_index
제조업전체,2008,1,98.0,manufacturing_production_index
제조업전체,2008,2,93.8,manufacturing_production_index
제조업전체,2008,3,108.0,manufacturing_production_index
제조업전체,2008,4,107.1,manufacturing_production_index
제조업전체,2008,5,103.9,manufacturing_production_index
제조업전체,2008,6,104.2,manufacturing_production_index
제조업전체,2008,7,105.7,manufacturing_production_index
제조업전체,2008,8,95.7,manufacturing_production_index
제조업전체,2008,9,101.9,manufacturing_production_index
제조업전체,2008,10,108.6,manufacturing_production_index
제조업전체,2008,11,103.0,manufacturing_production_index
제조업전체,2008,12,106.9,manufacturing_production_index
제조업전체,2009,1,79.1,manufacturing_production_index
제조업전체,2009,2,87.0,manufacturing_production_index
제조업전체,2009,3,102.6,manufacturing_production_index
제조업전체,2009,4,100.1,manufacturing_production_index
제조업전체,2009,5,95.8,manufacturing_production_index
제조업전체,2009,6,106.5,manufacturing_production_index
제조업전체,2009,7,99.5,manufacturing_production_index
제조업전체,2009,8,87.2,manufacturing_production_index
제조업전체,2009,9,107.8,manufacturing_production_index
제조업전체,2009,10,97.6,manufacturing_production_index
제조업전체,2009,11,106.4,manufacturing_production_index
제조업전체,2009,12,121.3,manufacturing_production_index
제조업전체,2010,1,104.9,manufacturing_production_index
제조업전체,2010,2,96.3,manufacturing_production_index
제조업전체,2010,3,118.3,manufacturing_production_index
제조업전체,2010,4,115.2,manufacturing_production_index
제조업전체,2010,5,116.0,manufacturing_production_index
제조업전체,2010,6,124.1,manufacturing_production_index
제조업전체,2010,7,116.6,manufacturing_production_index
제조업전체,2010,8,109.3,manufacturing_production_index
제조업전체,2010,9,112.4,manufacturing_production_index
제조업전체,2010,10,119.7,manufacturing_production_index
제조업전체,2010,11,122.7,manufacturing_production_index
제조업전체,2010,12,132.2,manufacturing_production_index
제조업전체,2011,1,117.1,manufacturing_production_index
제조업전체,2011,2,104.4,manufacturing_production_index
제조업전체,2011,3,134.3,manufacturing_production_index
제조업전체,2011,4,126.5,manufacturing_production_index
제조업전체,2011,5,127.7,manufacturing_production_index
제조업전체,2011,6,132.5,manufacturing_production_index
제조업전체,2011,7,122.6,manufacturing_production_index
제조업전체,2011,8,115.3,manufacturing_production_index
제조업전체,2011,9,119.0,manufacturing_production_index
제조업전체,2011,10,122.5,manufacturing_production_index
제조업전체,2011,11,125.4,manufacturing_production_index
제조업전체,2011,12,132.1,manufacturing_production_index
제조업전체,2012,1,114.5,manufacturing_production_index
제조업전체,2012,2,125.2,manufacturing_production_index
제조업전체,2012,3,134.6,manufacturing_production_index
제조업전체,2012,4,128.8,manufacturing_production_index
제조업전체,2012,5,133.6,manufacturing_production_index
제조업전체,2012,6,130.3,manufacturing_production_index
제조업전체,2012,7,121.1,manufacturing_production_index
제조업전체,2012,8,108.5,manufacturing_production_index
제조업전체,2012,9,115.2,manufacturing_production_index
제조업전체,2012,10,118.4,manufacturing_production_index
제조업전체,2012,11,120.4,manufacturing_production_index
제조업전체,2012,12,122.9,manufacturing_production_index
제조업전체,2013,1,118.9,manufacturing_production_index
제조업전체,2013,2,104.7,manufacturing_production_index
제조업전체,2013,3,123.2,manufacturing_production_index
제조업전체,2013,4,124.1,manufacturing_production_index
제조업전체,2013,5,121.5,manufacturing_production_index
제조업전체,2013,6,124.8,manufacturing_production_index
제조업전체,2013,7,114.9,manufacturing_production_index
제조업전체,2013,8,101.2,manufacturing_production_index
제조업전체,2013,9,102.8,manufacturing_production_index
제조업전체,2013,10,114.7,manufacturing_production_index
제조업전체,2013,11,114.6,manufacturing_production_index
제조업전체,2013,12,123.5,manufacturing_production_index
제조업전체,2014,1,102.8,manufacturing_production_index
제조업전체,2014,2,104.9,manufacturing_production_index
제조업전체,2014,3,116.0,manufacturing_production_index
제조업전체,2014,4,119.0,manufacturing_production_index
제조업전체,2014,5,117.1,manufacturing_production_index
제조업전체,2014,6,119.3,manufacturing_production_index
제조업전체,2014,7,119.1,manufacturing_production_index
제조업전체,2014,8,98.6,manufacturing_production_index
제조업전체,2014,9,109.3,manufacturing_production_index
제조업전체,2014,10,111.7,manufacturing_production_index
제조업전체,2014,11,113.6,manufacturing_production_index
제조업전체,2014,12,126.6,manufacturing_production_index
제조업전체,2015,1,104.3,manufacturing_production_index
제조업전체,2015,2,97.8,manufacturing_production_index
제조업전체,2015,3,115.7,manufacturing_production_index
제조업전체,2015,4,111.6,manufacturing_production_index
제조업전체,2015,5,105.4,manufacturing_production_index
제조업전체,2015,6,114.3,manufacturing_production_index
제조업전체,2015,7,106.0,manufacturing_production_index
제조업전체,2015,8,97.2,manufacturing_production_index
제조업전체,2015,9,99.6,manufacturing_production_index
제조업전체,2015,10,104.1,manufacturing_production_index
제조업전체,2015,11,104.7,manufacturing_production_index
제조업전체,2015,12,114.5,manufacturing_production_index
제조업전체,2016,1,96.1,manufacturing_production_index
제조업전체,2016,2,89.7,manufacturing_production_index
제조업전체,2016,3,110.6,manufacturing_production_index
제조업전체,2016,4,97.9,manufacturing_production_index
제조업전체,2016,5,105.6,manufacturing_production_index
제조업전체,2016,6,109.2,manufacturing_production_index
