region,year,month,value,indicator
제조업전체,2020,1,88.7,manufacturing_production_index
제조업전체,2020,2,90.9,manufacturing_production_index
제조업전체,2020,3,108.3,manufacturing_production_index
제조업전체,2020,4,101.1,manufacturing_production_index
제조업전체,2020,5,93.4,manufacturing_production_index
제조업전체,2020,6,103.7,manufacturing_production_index
제조업전체,2020,7,101.1,manufacturing_production_index
제조업전체,2020,8,89.7,manufacturing_production_index
제조업전체,2020,9,100.3,manufacturing_production_index
제조업전체,2020,10,95.5,manufacturing_production_index
제조업전체,2020,11,103.2,manufacturing_production_index
제조업전체,2020,12,124.2,manufacturing_production_index
제조업전체,2021,1,99.8,manufacturing_production_index
제조업전체,2021,2,92.9,manufacturing_production_index
제조업전체,2021,3,115.2,manufacturing_production_index
제조업전체,2021,4,114.0,manufacturing_production_index
제조업전체,2021,5,108.6,manufacturing_production_index
제조업전체,2021,6,120.3,manufacturing_production_index
제조업전체,2021,7,112.2,manufacturing_production_index
제조업전체,2021,8,98.6,manufacturing_production_index
제조업전체,2021,9,101.4,manufacturing_production_index
제조업전체,2021,10,103.2,manufacturing_production_index
제조업전체,2021,11,114.9,manufacturing_production_index
제조업전체,2021,12,134.9,manufacturing_production_index
제조업전체,2022,1,100.5,manufacturing_production_index
제조업전체,2022,2,93.9,manufacturing_production_index
제조업전체,2022,3,113.1,manufacturing_production_index
제조업전체,2022,4,108.4,manufacturing_production_index
제조업전체,2022,5,115.8,manufacturing_production_index
제조업전체,2022,6,123.4,manufacturing_production_index
제조업전체,2022,7,116.8,manufacturing_production_index
제조업전체,2022,8,111.0,manufacturing_production_index
제조업전체,2022,9,115.9,manufacturing_production_index
제조업전체,2022,10,115.2,manufacturing_production_index
제조업전체,2022,11,127.5,manufacturing_production_index
제조업전체,2022,12,149.0,manufacturing_production_index
제조업전체,2023,1,93.2,manufacturing_production_index
제조업전체,2023,2,104.0,manufacturing_production_index
제조업전체,2023,3,118.0,manufacturing_production_index
제조업전체,2023,4,103.7,manufacturing_production_index
제조업전체,2023,5,110.1,manufacturing_production_index
제조업전체,2023,6,118.4,manufacturing_production_index
제조업전체,2023,7,102.5,manufacturing_production_index
제조업전체,2023,8,100.0,manufacturing_production_index
제조업전체,2023,9,109.1,manufacturing_production_index
제조업전체,2023,10,102.2,manufacturing_production_index
제조업전체,2023,11,117.0,manufacturing_production_index
제조업전체,2023,12,138.4,manufacturing_production_index
제조업전체,2024,1,104.7,manufacturing_production_index
제조업전체,2024,2,97.7,manufacturing_production_index
제조업전체,2024,3,114.5,manufacturing_production_index
제조업전체,2024,4,114.8,manufacturing_production_index
제조업전체,2024,5,111.8,manufacturing_production_index
제조업전체,2024,6,117.2,manufacturing_production_index
제조업전체,2024,7,110.1,manufacturing_production_index
제조업전체,2024,8,110.7,manufacturing_production_index
제조업전체,2024,9,113.4,manufacturing_production_index
제조업전체,2024,10,115.9,manufacturing_production_index
제조업전체,2024,11,123.1,manufacturing_production_index
제조업전체,2024,12,148.3,manufacturing_production_index
