id,stat_code,status,message,created_at
1,0000000001,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:12:40
2,0000000002,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:12:40
3,0000000003,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:12:41
4,0000000004,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:12:41
5,102Y004,SUCCESS,6개 항목 수집,2025-08-25 01:12:42
6,102Y002,SUCCESS,9개 항목 수집,2025-08-25 01:12:43
7,102Y003,SUCCESS,6개 항목 수집,2025-08-25 01:12:43
8,102Y001,SUCCESS,9개 항목 수집,2025-08-25 01:12:44
9,0000000005,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:12:44
10,0000000006,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:12:45
11,101Y018,SUCCESS,8개 항목 수집,2025-08-25 01:12:46
12,101Y019,SUCCESS,12개 항목 수집,2025-08-25 01:12:46
13,101Y016,SUCCESS,8개 항목 수집,2025-08-25 01:12:47
14,101Y017,SUCCESS,12개 항목 수집,2025-08-25 01:12:48
15,0000000007,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:12:48
16,0000000008,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:12:49
17,101Y003,SUCCESS,22개 항목 수집,2025-08-25 01:12:49
18,101Y004,SUCCESS,48개 항목 수집,2025-08-25 01:12:50
19,101Y001,SUCCESS,22개 항목 수집,2025-08-25 01:12:51
20,101Y002,SUCCESS,48개 항목 수집,2025-08-25 01:12:51
21,0000000009,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:12:52
22,101Y006,SUCCESS,5개 항목 수집,2025-08-25 01:12:53
23,101Y015,SUCCESS,15개 항목 수집,2025-08-25 01:12:53
24,101Y005,SUCCESS,5개 항목 수집,2025-08-25 01:12:54
25,101Y014,SUCCESS,15개 항목 수집,2025-08-25 01:12:54
26,0000000010,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:12:55
27,101Y008,SUCCESS,39개 항목 수집,2025-08-25 01:12:56
28,101Y007,SUCCESS,39개 항목 수집,2025-08-25 01:12:56
29,0000000012,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:12:57
30,0000000013,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:12:58
31,111Y003,SUCCESS,8개 항목 수집,2025-08-25 01:12:58
32,111Y004,SUCCESS,39개 항목 수집,2025-08-25 01:12:59
33,111Y001,SUCCESS,8개 항목 수집,2025-08-25 01:12:59
34,111Y002,SUCCESS,39개 항목 수집,2025-08-25 01:13:00
35,0000000014,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:13:01
36,111Y006,SUCCESS,39개 항목 수집,2025-08-25 01:13:01
37,111Y005,SUCCESS,39개 항목 수집,2025-08-25 01:13:02
38,0000000015,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:13:02
39,112Y001,SUCCESS,10개 항목 수집,2025-08-25 01:13:03
40,112Y002,SUCCESS,30개 항목 수집,2025-08-25 01:13:04
41,0000000017,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:13:04
42,101Y009,SUCCESS,237개 항목 수집,2025-08-25 01:13:05
43,101Y010,SUCCESS,219개 항목 수집,2025-08-25 01:13:06
44,101Y011,SUCCESS,252개 항목 수집,2025-08-25 01:13:07
45,0000000020,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:13:07
46,0000000021,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:13:08
47,0000000022,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:13:08
48,104Y014,SUCCESS,27개 항목 수집,2025-08-25 01:13:09
49,104Y013,SUCCESS,27개 항목 수집,2025-08-25 01:13:10
50,104Y008,SUCCESS,66개 항목 수집,2025-08-25 01:13:11
