id,stat_code,status,message,created_at
1,0000000001,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:14:32
2,0000000002,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:14:33
3,0000000003,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:14:34
4,0000000004,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:14:34
5,102Y004,SUCCESS,6개 항목 수집 (코드 포함: 0개),2025-08-25 01:14:35
6,102Y002,SUCCESS,9개 항목 수집 (코드 포함: 0개),2025-08-25 01:14:36
7,102Y003,SUCCESS,6개 항목 수집 (코드 포함: 0개),2025-08-25 01:14:36
8,102Y001,SUCCESS,9개 항목 수집 (코드 포함: 0개),2025-08-25 01:14:37
9,0000000005,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:14:37
10,0000000006,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:14:38
11,101Y018,SUCCESS,8개 항목 수집 (코드 포함: 0개),2025-08-25 01:14:39
12,101Y019,SUCCESS,12개 항목 수집 (코드 포함: 0개),2025-08-25 01:14:39
13,101Y016,SUCCESS,8개 항목 수집 (코드 포함: 0개),2025-08-25 01:14:40
14,101Y017,SUCCESS,12개 항목 수집 (코드 포함: 0개),2025-08-25 01:14:40
15,0000000007,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:14:41
16,0000000008,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:14:42
17,101Y003,SUCCESS,22개 항목 수집 (코드 포함: 0개),2025-08-25 01:14:42
18,101Y004,SUCCESS,48개 항목 수집 (코드 포함: 0개),2025-08-25 01:14:43
19,101Y001,SUCCESS,22개 항목 수집 (코드 포함: 0개),2025-08-25 01:14:44
20,101Y002,SUCCESS,48개 항목 수집 (코드 포함: 0개),2025-08-25 01:14:44
21,0000000009,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:14:45
22,101Y006,SUCCESS,5개 항목 수집 (코드 포함: 0개),2025-08-25 01:14:46
23,101Y015,SUCCESS,15개 항목 수집 (코드 포함: 0개),2025-08-25 01:14:46
24,101Y005,SUCCESS,5개 항목 수집 (코드 포함: 0개),2025-08-25 01:14:47
25,101Y014,SUCCESS,15개 항목 수집 (코드 포함: 0개),2025-08-25 01:14:48
26,0000000010,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:14:48
27,101Y008,SUCCESS,39개 항목 수집 (코드 포함: 0개),2025-08-25 01:14:49
28,101Y007,SUCCESS,39개 항목 수집 (코드 포함: 0개),2025-08-25 01:14:50
29,0000000012,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:14:50
30,0000000013,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:14:51
31,111Y003,SUCCESS,8개 항목 수집 (코드 포함: 0개),2025-08-25 01:14:51
32,111Y004,SUCCESS,39개 항목 수집 (코드 포함: 0개),2025-08-25 01:14:52
33,111Y001,SUCCESS,8개 항목 수집 (코드 포함: 0개),2025-08-25 01:14:53
34,111Y002,SUCCESS,39개 항목 수집 (코드 포함: 0개),2025-08-25 01:14:53
35,0000000014,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:14:54
36,111Y006,SUCCESS,39개 항목 수집 (코드 포함: 0개),2025-08-25 01:14:55
37,111Y005,SUCCESS,39개 항목 수집 (코드 포함: 0개),2025-08-25 01:14:55
38,0000000015,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:14:56
39,112Y001,SUCCESS,10개 항목 수집 (코드 포함: 0개),2025-08-25 01:14:56
40,112Y002,SUCCESS,30개 항목 수집 (코드 포함: 0개),2025-08-25 01:14:57
41,0000000017,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:14:58
42,101Y009,SUCCESS,237개 항목 수집 (코드 포함: 0개),2025-08-25 01:14:59
43,101Y010,SUCCESS,219개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:00
44,101Y011,SUCCESS,252개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:00
45,0000000020,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:15:01
46,0000000021,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:15:02
47,0000000022,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:15:02
48,104Y014,SUCCESS,27개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:03
49,104Y013,SUCCESS,27개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:03
50,104Y008,SUCCESS,66개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:04
51,104Y015,SUCCESS,66개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:05
52,104Y009,SUCCESS,36개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:05
53,104Y010,SUCCESS,18개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:06
54,0000000023,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:15:07
55,111Y008,SUCCESS,30개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:07
56,111Y007,SUCCESS,30개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:08
57,0000000024,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:15:08
58,104Y016,SUCCESS,132개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:09
59,111Y009,SUCCESS,30개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:10
60,0000000027,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:15:10
61,141Y002,SUCCESS,84개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:14
62,141Y006,SUCCESS,81개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:15
63,141Y008,SUCCESS,57개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:15
64,0000000031,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:15:16
65,141Y003,SUCCESS,81개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:17
66,151Y003,SUCCESS,63개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:17
67,141Y004,SUCCESS,66개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:18
68,0000000032,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:15:19
69,141Y007,SUCCESS,78개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:19
70,151Y006,SUCCESS,78개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:20
71,141Y010,SUCCESS,78개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:21
72,141Y009,SUCCESS,57개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:21
73,141Y005,SUCCESS,75개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:22
74,0000000035,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:15:23
75,0000000036,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:15:23
76,151Y001,SUCCESS,40개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:24
77,151Y004,SUCCESS,28개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:25
78,0000000037,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:15:25
79,151Y002,SUCCESS,24개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:26
80,151Y005,SUCCESS,24개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:27
81,0000000038,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:15:28
82,0000000039,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:15:28
83,131Y016,SUCCESS,86개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:29
84,131Y017,SUCCESS,46개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:30
85,0000000040,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:15:30
86,131Y013,SUCCESS,86개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:31
87,131Y011,SUCCESS,46개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:32
88,131Y010,SUCCESS,44개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:32
89,131Y018,SUCCESS,50개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:33
90,132Y001,SUCCESS,122개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:34
91,132Y003,SUCCESS,82개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:35
92,0000000041,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:15:35
93,131Y014,SUCCESS,86개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:36
94,131Y015,SUCCESS,46개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:37
95,0000000042,NO_ITEMS,항목이 없거나 조회 실패,2025-08-25 01:15:37
96,104Y017,SUCCESS,33개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:38
97,901Y053,SUCCESS,18개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:39
98,901Y054,SUCCESS,12개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:39
99,901Y059,SUCCESS,10개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:40
100,105Y001,SUCCESS,16개 항목 수집 (코드 포함: 0개),2025-08-25 01:15:41
