id,indicator_name,start_date,end_date,records_collected,status,created_at
36,수입액,1997,2025,649,success,2025-08-25 04:12:24
35,수출액,1997,2025,649,success,2025-08-25 04:12:22
34,건설투자,1997,2025,1000,success,2025-08-25 04:12:21
33,설비투자,1997,2025,1000,success,2025-08-25 04:12:20
32,고용률,1997,2025,432,success,2025-08-25 04:12:19
31,실업률,1997,2025,432,success,2025-08-25 04:12:17
30,원달러환율,1997,2025,0,no_data,2025-08-25 04:12:16
29,KORIBOR,1997,2025,165,success,2025-08-25 04:12:15
28,기준금리,1997,2025,596,success,2025-08-25 04:12:10
27,생산자물가지수,1997,2025,0,no_data,2025-08-25 04:12:09
26,소비자물가지수,1997,2025,0,no_data,2025-08-25 04:12:08
25,GDP디플레이터,1997,2025,1000,success,2025-08-25 04:12:07
24,명목GDP,1997,2025,1000,success,2025-08-25 04:12:05
23,실질GDP,1997,2025,1000,success,2025-08-25 04:12:04
22,수입액,1997,2025,649,success,2025-08-25 04:11:50
21,수출액,1997,2025,649,success,2025-08-25 04:11:48
20,건설투자,1997,2025,1000,success,2025-08-25 04:11:47
19,설비투자,1997,2025,1000,success,2025-08-25 04:11:46
18,고용률,1997,2025,432,success,2025-08-25 04:11:44
17,실업률,1997,2025,432,success,2025-08-25 04:11:43
16,원달러환율,1997,2025,0,no_data,2025-08-25 04:11:42
15,KORIBOR,1997,2025,165,success,2025-08-25 04:11:40
14,기준금리,1997,2025,596,success,2025-08-25 04:11:39
13,생산자물가지수,1997,2025,0,no_data,2025-08-25 04:11:38
12,소비자물가지수,1997,2025,0,no_data,2025-08-25 04:11:37
11,GDP디플레이터,1997,2025,1000,success,2025-08-25 04:11:35
10,명목GDP,1997,2025,1000,success,2025-08-25 04:11:34
9,실질GDP,1997,2025,1000,success,2025-08-25 04:11:32
8,원/달러 환율,1997,2025,0,no_data,2025-08-25 02:08:04
7,KORIBOR,1997,2025,165,success,2025-08-25 02:08:02
6,한국은행 기준금리,1997,2025,596,success,2025-08-25 02:07:58
5,생산자물가지수,1997,2025,0,no_data,2025-08-25 02:07:57
4,소비자물가지수,1997,2025,0,no_data,2025-08-25 02:07:56
3,GDP디플레이터,1997,2025,1000,success,2025-08-25 02:07:55
2,명목GDP,1997,2025,1000,success,2025-08-25 02:07:53
1,실질GDP,1997,2025,1000,success,2025-08-25 02:07:52
