region,year,bds_value,gdp_value,data_source,scenario,base_rate,exchange_rate,cpi,gdp_growth,koribor,gov_bond_3y,corp_bond_3y,bds_score,economic_stress,financial_stability,growth_potential
서울특별시,1997,4.971010919855754,,NAVIS,baseline,2.5,1393.2,116.52,0.6,2.49,2.456,2.932,49.71010919855754,49.25,93.72000000000001,82.32000000000001
서울특별시,1998,5.469132864045767,,NAVIS,baseline,2.5,1393.2,116.52,0.6,2.49,2.456,2.932,54.69132864045767,49.25,93.72000000000001,82.32000000000001
서울특별시,1999,4.4209178468555965,,NAVIS,baseline,2.5,1393.2,116.52,0.6,2.49,2.456,2.932,44.20917846855596,49.25,93.72000000000001,82.32000000000001
서울특별시,2000,4.982326950194623,,NAVIS,baseline,2.5,1393.2,116.52,0.6,2.49,2.456,2.932,49.82326950194623,49.25,93.72000000000001,82.32000000000001
서울특별시,2001,7.1805331656521805,,NAVIS,baseline,2.5,1393.2,116.52,0.6,2.49,2.456,2.932,71.8053316565218,49.25,93.72000000000001,82.32000000000001
서울특별시,2002,5.235621189672069,,NAVIS,baseline,2.5,1393.2,116.52,0.6,2.49,2.456,2.932,52.356211896720694,49.25,93.72000000000001,82.32000000000001
서울특별시,2003,4.8358420792001775,,NAVIS,baseline,2.5,1393.2,116.52,0.6,2.49,2.456,2.932,48.35842079200177,49.25,93.72000000000001,82.32000000000001
서울특별시,2004,5.542620724410993,,NAVIS,baseline,2.5,1393.2,116.52,0.6,2.49,2.456,2.932,55.42620724410993,49.25,93.72000000000001,82.32000000000001
서울특별시,2005,5.587042520200573,,NAVIS,baseline,2.5,1393.2,116.52,0.6,2.49,2.456,2.932,55.87042520200573,49.25,93.72000000000001,82.32000000000001
서울특별시,2006,6.114533103950222,,NAVIS,baseline,2.5,1393.2,116.52,0.6,2.49,2.456,2.932,61.145331039502224,49.25,93.72000000000001,82.32000000000001
서울특별시,2007,6.3157861690603685,,NAVIS,baseline,2.5,1393.2,116.52,0.6,2.49,2.456,2.932,63.15786169060368,49.25,93.72000000000001,82.32000000000001
서울특별시,2008,4.6797248549696056,,NAVIS,baseline,2.5,1393.2,116.52,0.6,2.49,2.456,2.932,46.79724854969606,49.25,93.72000000000001,82.32000000000001
서울특별시,2009,4.65780658361748,,NAVIS,baseline,2.5,1393.2,116.52,0.6,2.49,2.456,2.932,46.578065836174794,49.25,93.72000000000001,82.32000000000001
