id,stat_code,item_code,item_name,unit,cycle_type,created_at
1,102Y004,,"본원통화(평잔,계절조정계열)",,A,2025-08-25 01:12:42
2,102Y004,,"본원통화(평잔,계절조정계열)",,M,2025-08-25 01:12:42
3,102Y004,,현금통화,,A,2025-08-25 01:12:42
4,102Y004,,현금통화,,M,2025-08-25 01:12:42
5,102Y004,,중앙은행 대 예금취급기관부채,,A,2025-08-25 01:12:42
6,102Y004,,중앙은행 대 예금취급기관부채,,M,2025-08-25 01:12:42
7,102Y002,,"본원통화(평잔, 원계열)",,A,2025-08-25 01:12:43
8,102Y002,,"본원통화(평잔, 원계열)",,M,2025-08-25 01:12:43
9,102Y002,,"본원통화(평잔, 원계열)",,Q,2025-08-25 01:12:43
10,102Y002,,현금통화,,A,2025-08-25 01:12:43
11,102Y002,,현금통화,,M,2025-08-25 01:12:43
12,102Y002,,현금통화,,Q,2025-08-25 01:12:43
13,102Y002,,중앙은행 대 예금취급기관부채,,A,2025-08-25 01:12:43
14,102Y002,,중앙은행 대 예금취급기관부채,,M,2025-08-25 01:12:43
15,102Y002,,중앙은행 대 예금취급기관부채,,Q,2025-08-25 01:12:43
16,102Y003,,"본원통화(말잔,계절조정계열)",,A,2025-08-25 01:12:43
17,102Y003,,"본원통화(말잔,계절조정계열)",,M,2025-08-25 01:12:43
18,102Y003,,중앙은행 대 예금취급기관부채,,A,2025-08-25 01:12:43
19,102Y003,,중앙은행 대 예금취급기관부채,,M,2025-08-25 01:12:43
20,102Y003,,현금통화,,A,2025-08-25 01:12:43
21,102Y003,,현금통화,,M,2025-08-25 01:12:43
22,102Y001,,"본원통화(말잔, 원계열)",,A,2025-08-25 01:12:44
23,102Y001,,"본원통화(말잔, 원계열)",,M,2025-08-25 01:12:44
24,102Y001,,"본원통화(말잔, 원계열)",,Q,2025-08-25 01:12:44
25,102Y001,,현금통화,,A,2025-08-25 01:12:44
26,102Y001,,현금통화,,M,2025-08-25 01:12:44
27,102Y001,,현금통화,,Q,2025-08-25 01:12:44
28,102Y001,,중앙은행 대 예금취급기관부채,,A,2025-08-25 01:12:44
29,102Y001,,중앙은행 대 예금취급기관부채,,M,2025-08-25 01:12:44
30,102Y001,,중앙은행 대 예금취급기관부채,,Q,2025-08-25 01:12:44
31,101Y018,,"M1(평잔, 계절조정계열)",,A,2025-08-25 01:12:46
32,101Y018,,"M1(평잔, 계절조정계열)",,M,2025-08-25 01:12:46
33,101Y018,,현금통화,,A,2025-08-25 01:12:46
34,101Y018,,현금통화,,M,2025-08-25 01:12:46
35,101Y018,,요구불예금,,A,2025-08-25 01:12:46
36,101Y018,,요구불예금,,M,2025-08-25 01:12:46
37,101Y018,,수시입출식저축성예금,,A,2025-08-25 01:12:46
38,101Y018,,수시입출식저축성예금,,M,2025-08-25 01:12:46
39,101Y019,,"M1(평잔, 원계열)",,A,2025-08-25 01:12:46
40,101Y019,,"M1(평잔, 원계열)",,M,2025-08-25 01:12:46
41,101Y019,,"M1(평잔, 원계열)",,Q,2025-08-25 01:12:46
42,101Y019,,현금통화,,A,2025-08-25 01:12:46
43,101Y019,,현금통화,,M,2025-08-25 01:12:46
44,101Y019,,현금통화,,Q,2025-08-25 01:12:46
45,101Y019,,요구불예금,,A,2025-08-25 01:12:46
46,101Y019,,요구불예금,,M,2025-08-25 01:12:46
47,101Y019,,요구불예금,,Q,2025-08-25 01:12:46
48,101Y019,,수시입출식저축성예금,,A,2025-08-25 01:12:46
49,101Y019,,수시입출식저축성예금,,M,2025-08-25 01:12:46
50,101Y019,,수시입출식저축성예금,,Q,2025-08-25 01:12:46
