id,stat_code,item_code,item_name,unit,cycle_type,raw_item_name,created_at
1,102Y004,,"본원통화(평잔,계절조정계열)",,A,"본원통화(평잔,계절조정계열)",2025-08-25 01:14:35
2,102Y004,,"본원통화(평잔,계절조정계열)",,M,"본원통화(평잔,계절조정계열)",2025-08-25 01:14:35
3,102Y004,,현금통화,,A,현금통화,2025-08-25 01:14:35
4,102Y004,,현금통화,,M,현금통화,2025-08-25 01:14:35
5,102Y004,,중앙은행 대 예금취급기관부채,,A,중앙은행 대 예금취급기관부채,2025-08-25 01:14:35
6,102Y004,,중앙은행 대 예금취급기관부채,,M,중앙은행 대 예금취급기관부채,2025-08-25 01:14:35
7,102Y002,,"본원통화(평잔, 원계열)",,A,"본원통화(평잔, 원계열)",2025-08-25 01:14:36
8,102Y002,,"본원통화(평잔, 원계열)",,M,"본원통화(평잔, 원계열)",2025-08-25 01:14:36
9,102Y002,,"본원통화(평잔, 원계열)",,Q,"본원통화(평잔, 원계열)",2025-08-25 01:14:36
10,102Y002,,현금통화,,A,현금통화,2025-08-25 01:14:36
11,102Y002,,현금통화,,M,현금통화,2025-08-25 01:14:36
12,102Y002,,현금통화,,Q,현금통화,2025-08-25 01:14:36
13,102Y002,,중앙은행 대 예금취급기관부채,,A,중앙은행 대 예금취급기관부채,2025-08-25 01:14:36
14,102Y002,,중앙은행 대 예금취급기관부채,,M,중앙은행 대 예금취급기관부채,2025-08-25 01:14:36
15,102Y002,,중앙은행 대 예금취급기관부채,,Q,중앙은행 대 예금취급기관부채,2025-08-25 01:14:36
16,102Y003,,"본원통화(말잔,계절조정계열)",,A,"본원통화(말잔,계절조정계열)",2025-08-25 01:14:36
17,102Y003,,"본원통화(말잔,계절조정계열)",,M,"본원통화(말잔,계절조정계열)",2025-08-25 01:14:36
18,102Y003,,중앙은행 대 예금취급기관부채,,A,중앙은행 대 예금취급기관부채,2025-08-25 01:14:36
19,102Y003,,중앙은행 대 예금취급기관부채,,M,중앙은행 대 예금취급기관부채,2025-08-25 01:14:36
20,102Y003,,현금통화,,A,현금통화,2025-08-25 01:14:36
21,102Y003,,현금통화,,M,현금통화,2025-08-25 01:14:36
22,102Y001,,"본원통화(말잔, 원계열)",,A,"본원통화(말잔, 원계열)",2025-08-25 01:14:37
23,102Y001,,"본원통화(말잔, 원계열)",,M,"본원통화(말잔, 원계열)",2025-08-25 01:14:37
24,102Y001,,"본원통화(말잔, 원계열)",,Q,"본원통화(말잔, 원계열)",2025-08-25 01:14:37
25,102Y001,,현금통화,,A,현금통화,2025-08-25 01:14:37
26,102Y001,,현금통화,,M,현금통화,2025-08-25 01:14:37
27,102Y001,,현금통화,,Q,현금통화,2025-08-25 01:14:37
28,102Y001,,중앙은행 대 예금취급기관부채,,A,중앙은행 대 예금취급기관부채,2025-08-25 01:14:37
29,102Y001,,중앙은행 대 예금취급기관부채,,M,중앙은행 대 예금취급기관부채,2025-08-25 01:14:37
30,102Y001,,중앙은행 대 예금취급기관부채,,Q,중앙은행 대 예금취급기관부채,2025-08-25 01:14:37
31,101Y018,,"M1(평잔, 계절조정계열)",,A,"M1(평잔, 계절조정계열)",2025-08-25 01:14:39
32,101Y018,,"M1(평잔, 계절조정계열)",,M,"M1(평잔, 계절조정계열)",2025-08-25 01:14:39
33,101Y018,,현금통화,,A,현금통화,2025-08-25 01:14:39
34,101Y018,,현금통화,,M,현금통화,2025-08-25 01:14:39
35,101Y018,,요구불예금,,A,요구불예금,2025-08-25 01:14:39
36,101Y018,,요구불예금,,M,요구불예금,2025-08-25 01:14:39
37,101Y018,,수시입출식저축성예금,,A,수시입출식저축성예금,2025-08-25 01:14:39
38,101Y018,,수시입출식저축성예금,,M,수시입출식저축성예금,2025-08-25 01:14:39
39,101Y019,,"M1(평잔, 원계열)",,A,"M1(평잔, 원계열)",2025-08-25 01:14:39
40,101Y019,,"M1(평잔, 원계열)",,M,"M1(평잔, 원계열)",2025-08-25 01:14:39
41,101Y019,,"M1(평잔, 원계열)",,Q,"M1(평잔, 원계열)",2025-08-25 01:14:39
42,101Y019,,현금통화,,A,현금통화,2025-08-25 01:14:39
43,101Y019,,현금통화,,M,현금통화,2025-08-25 01:14:39
44,101Y019,,현금통화,,Q,현금통화,2025-08-25 01:14:39
45,101Y019,,요구불예금,,A,요구불예금,2025-08-25 01:14:39
46,101Y019,,요구불예금,,M,요구불예금,2025-08-25 01:14:39
47,101Y019,,요구불예금,,Q,요구불예금,2025-08-25 01:14:39
48,101Y019,,수시입출식저축성예금,,A,수시입출식저축성예금,2025-08-25 01:14:39
49,101Y019,,수시입출식저축성예금,,M,수시입출식저축성예금,2025-08-25 01:14:39
50,101Y019,,수시입출식저축성예금,,Q,수시입출식저축성예금,2025-08-25 01:14:39
51,101Y016,,"M1(말잔, 계절조정계열)",,A,"M1(말잔, 계절조정계열)",2025-08-25 01:14:40
52,101Y016,,"M1(말잔, 계절조정계열)",,M,"M1(말잔, 계절조정계열)",2025-08-25 01:14:40
53,101Y016,,현금통화,,A,현금통화,2025-08-25 01:14:40
54,101Y016,,현금통화,,M,현금통화,2025-08-25 01:14:40
55,101Y016,,요구불예금,,A,요구불예금,2025-08-25 01:14:40
56,101Y016,,요구불예금,,M,요구불예금,2025-08-25 01:14:40
57,101Y016,,수시입출식저축성예금,,A,수시입출식저축성예금,2025-08-25 01:14:40
58,101Y016,,수시입출식저축성예금,,M,수시입출식저축성예금,2025-08-25 01:14:40
59,101Y017,,"M1(말잔, 원계열)",,A,"M1(말잔, 원계열)",2025-08-25 01:14:40
60,101Y017,,"M1(말잔, 원계열)",,M,"M1(말잔, 원계열)",2025-08-25 01:14:40
61,101Y017,,"M1(말잔, 원계열)",,Q,"M1(말잔, 원계열)",2025-08-25 01:14:40
62,101Y017,,현금통화,,A,현금통화,2025-08-25 01:14:40
63,101Y017,,현금통화,,M,현금통화,2025-08-25 01:14:40
64,101Y017,,현금통화,,Q,현금통화,2025-08-25 01:14:40
65,101Y017,,요구불예금,,A,요구불예금,2025-08-25 01:14:40
66,101Y017,,요구불예금,,M,요구불예금,2025-08-25 01:14:40
67,101Y017,,요구불예금,,Q,요구불예금,2025-08-25 01:14:40
68,101Y017,,수시입출식저축성예금,,A,수시입출식저축성예금,2025-08-25 01:14:40
69,101Y017,,수시입출식저축성예금,,M,수시입출식저축성예금,2025-08-25 01:14:40
70,101Y017,,수시입출식저축성예금,,Q,수시입출식저축성예금,2025-08-25 01:14:40
71,101Y003,,"M2(평잔, 계절조정계열)",,A,"M2(평잔, 계절조정계열)",2025-08-25 01:14:42
72,101Y003,,"M2(평잔, 계절조정계열)",,M,"M2(평잔, 계절조정계열)",2025-08-25 01:14:42
73,101Y003,,현금통화,,A,현금통화,2025-08-25 01:14:42
74,101Y003,,현금통화,,M,현금통화,2025-08-25 01:14:42
75,101Y003,,요구불예금,,A,요구불예금,2025-08-25 01:14:42
76,101Y003,,요구불예금,,M,요구불예금,2025-08-25 01:14:42
77,101Y003,,수시입출식저축성예금,,A,수시입출식저축성예금,2025-08-25 01:14:42
78,101Y003,,수시입출식저축성예금,,M,수시입출식저축성예금,2025-08-25 01:14:42
79,101Y003,,MMF,,A,MMF,2025-08-25 01:14:42
80,101Y003,,MMF,,M,MMF,2025-08-25 01:14:42
81,101Y003,,만기2년미만정기예적금,,A,만기2년미만정기예적금,2025-08-25 01:14:42
82,101Y003,,만기2년미만정기예적금,,M,만기2년미만정기예적금,2025-08-25 01:14:42
83,101Y003,,수익증권,,A,수익증권,2025-08-25 01:14:42
84,101Y003,,수익증권,,M,수익증권,2025-08-25 01:14:42
85,101Y003,,시장형상품 1),,A,시장형상품 1),2025-08-25 01:14:42
86,101Y003,,시장형상품 1),,M,시장형상품 1),2025-08-25 01:14:42
87,101Y003,,만기2년미만금융채,,A,만기2년미만금융채,2025-08-25 01:14:42
88,101Y003,,만기2년미만금융채,,M,만기2년미만금융채,2025-08-25 01:14:42
89,101Y003,,만기2년미만금전신탁,,A,만기2년미만금전신탁,2025-08-25 01:14:42
90,101Y003,,만기2년미만금전신탁,,M,만기2년미만금전신탁,2025-08-25 01:14:42
91,101Y003,,기타 2),,A,기타 2),2025-08-25 01:14:42
92,101Y003,,기타 2),,M,기타 2),2025-08-25 01:14:42
93,101Y004,,"M2(평잔, 원계열)",,A,"M2(평잔, 원계열)",2025-08-25 01:14:43
94,101Y004,,"M2(평잔, 원계열)",,M,"M2(평잔, 원계열)",2025-08-25 01:14:43
