id,stat_code,stat_name,cycle_types,created_at
1,0000000001,1. 통화/금융,,2025-08-25 01:14:32
2,0000000002,1.1. 통화/유동성,,2025-08-25 01:14:33
3,0000000003,1.1.1. 본원통화,,2025-08-25 01:14:33
4,0000000004,1.1.1.1. 본원통화 구성내역,,2025-08-25 01:14:34
5,102Y004,"1.1.1.1.1. 본원통화 구성내역(평잔, 계절조정계열)",M,2025-08-25 01:14:35
6,102Y002,"1.1.1.1.2. 본원통화 구성내역(평잔, 원계열)",M,2025-08-25 01:14:36
7,102Y003,"1.1.1.1.3. 본원통화 구성내역(말잔, 계절조정계열)",M,2025-08-25 01:14:36
8,102Y001,"1.1.1.1.4. 본원통화 구성내역(말잔, 원계열)",M,2025-08-25 01:14:37
9,0000000005,1.1.2. M1(협의통화),,2025-08-25 01:14:37
10,0000000006,1.1.2.1. M1(협의통화) 상품별 구성내역,,2025-08-25 01:14:38
11,101Y018,"1.1.2.1.1. M1 상품별 구성내역(평잔, 계절조정계열)",M,2025-08-25 01:14:39
12,101Y019,"1.1.2.1.2. M1 상품별 구성내역(평잔, 원계열)",M,2025-08-25 01:14:39
13,101Y016,"1.1.2.1.3. M1 상품별 구성내역(말잔, 계절조정계열)",M,2025-08-25 01:14:40
14,101Y017,"1.1.2.1.4. M1 상품별 구성내역(말잔, 원계열)",M,2025-08-25 01:14:40
15,0000000007,1.1.3. M2(광의통화),,2025-08-25 01:14:41
16,0000000008,1.1.3.1. M2(광의통화) 상품별 구성내역,,2025-08-25 01:14:42
17,101Y003,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)",M,2025-08-25 01:14:42
18,101Y004,"1.1.3.1.2. M2 상품별 구성내역(평잔, 원계열)",M,2025-08-25 01:14:43
19,101Y001,"1.1.3.1.3. M2 상품별 구성내역(말잔, 계절조정계열)",M,2025-08-25 01:14:43
20,101Y002,"1.1.3.1.4. M2 상품별 구성내역(말잔, 원계열)",M,2025-08-25 01:14:44
21,0000000009,1.1.3.2. M2(광의통화) 경제주체별 보유현황,,2025-08-25 01:14:45
22,101Y006,"1.1.3.2.1. M2 경제주체별 보유현황(평잔, 계절조정계열)",M,2025-08-25 01:14:46
23,101Y015,"1.1.3.2.2. M2 경제주체별 보유현황(평잔, 원계열)",M,2025-08-25 01:14:46
24,101Y005,"1.1.3.2.3. M2 경제주체별 보유현황(말잔, 계절조정계열)",M,2025-08-25 01:14:47
25,101Y014,"1.1.3.2.4. M2 경제주체별 보유현황(말잔, 원계열)",M,2025-08-25 01:14:48
26,0000000010,1.1.3.3. M2 기관별 구성내역,,2025-08-25 01:14:48
27,101Y008,1.1.3.3.1. M2 기관별구성내역(평잔),M,2025-08-25 01:14:49
28,101Y007,1.1.3.3.2. M2 기관별구성내역(말잔),M,2025-08-25 01:14:49
29,0000000012,1.1.4. Lf(금융기관 유동성) 관련통계,,2025-08-25 01:14:50
30,0000000013,1.1.4.1. Lf(금융기관 유동성) 상품별 구성내역,,2025-08-25 01:14:51
31,111Y003,"1.1.4.1.1. Lf 상품별 구성내역(평잔, 계절조정계열)",M,2025-08-25 01:14:51
32,111Y004,"1.1.4.1.2. Lf 상품별 구성내역(평잔, 원계열)",M,2025-08-25 01:14:52
33,111Y001,"1.1.4.1.3. Lf 상품별 구성내역(말잔, 계절조정계열)",M,2025-08-25 01:14:52
34,111Y002,"1.1.4.1.4. Lf 상품별 구성내역(말잔, 원계열)",M,2025-08-25 01:14:53
35,0000000014,1.1.4.2. Lf 기관별 구성내역,,2025-08-25 01:14:54
36,111Y006,1.1.4.2.1. Lf 기관별 구성내역(평잔),M,2025-08-25 01:14:54
37,111Y005,1.1.4.2.2. Lf 기관별 구성내역(말잔),M,2025-08-25 01:14:55
38,0000000015,1.1.5. L(광의유동성) 구성내역,,2025-08-25 01:14:56
39,112Y001,"1.1.5.1. L(광의유동성) 구성내역(말잔, 계절조정계열)",M,2025-08-25 01:14:56
40,112Y002,"1.1.5.2. L(광의유동성) 구성내역(말잔, 원계열)",M,2025-08-25 01:14:57
41,0000000017,1.1.6. 예금취급기관 개관표,,2025-08-25 01:14:58
42,101Y009,1.1.6.1. 예금취급기관 개관표(말잔),M,2025-08-25 01:14:59
43,101Y010,1.1.6.2. 중앙은행 개관표(말잔),M,2025-08-25 01:14:59
44,101Y011,1.1.6.3. 기타예금취급기관 개관표(말잔),M,2025-08-25 01:15:00
45,0000000020,1.2. 금융기관 여수신,,2025-08-25 01:15:01
46,0000000021,1.2.1. 수신,,2025-08-25 01:15:02
47,0000000022,1.2.1.1. 예금은행 수신,,2025-08-25 01:15:02
48,104Y014,1.2.1.1.1. 예금은행 총수신(평잔),M,2025-08-25 01:15:03
49,104Y013,1.2.1.1.2. 예금은행 총수신(말잔),M,2025-08-25 01:15:03
50,104Y008,"1.2.1.1.3. 예금은행 원화예금(종별, 평잔)",M,2025-08-25 01:15:04
51,104Y015,"1.2.1.1.4. 예금은행 원화예금(종별, 말잔)",M,2025-08-25 01:15:05
52,104Y009,"1.2.1.1.5. 예금은행 원화예금(예금주별,말잔)",M,2025-08-25 01:15:05
53,104Y010,"1.2.1.1.6. 예금은행 정기예금(기간별, 말잔)",M,2025-08-25 01:15:06
54,0000000023,1.2.1.2. 비은행금융기관 수신,,2025-08-25 01:15:06
55,111Y008,1.2.1.2.1. 비은행금융기관 수신(평잔),M,2025-08-25 01:15:07
56,111Y007,1.2.1.2.2. 비은행금융기관 수신(말잔),M,2025-08-25 01:15:08
57,0000000024,1.2.2. 여신,,2025-08-25 01:15:08
58,104Y016,1.2.2.1. 예금은행 대출금(말잔),M,2025-08-25 01:15:09
59,111Y009,1.2.2.2. 비은행금융기관 여신(말잔),M,2025-08-25 01:15:10
60,0000000027,1.2.3. 지역별 여수신,,2025-08-25 01:15:10
61,141Y002,1.2.3.1. 예금은행 지역별 수신(말잔),M,2025-08-25 01:15:11
62,141Y006,1.2.3.2. 비은행예금취급기관 지역별 수신(말잔),M,2025-08-25 01:15:15
63,141Y008,1.2.3.3. 생명보험회사 지역별 수신(말잔),M,2025-08-25 01:15:15
64,0000000031,1.2.3.4. 예금은행 지역별 대출금(말잔),,2025-08-25 01:15:16
65,141Y003,1.2.3.4.1. 예금은행 지역별 대출금(말잔),M,2025-08-25 01:15:17
66,151Y003,1.2.3.4.2. 예금은행 지역별 가계대출(말잔),M,2025-08-25 01:15:17
67,141Y004,1.2.3.4.3. 예금은행 지역별 기업대출(말잔),M,2025-08-25 01:15:18
68,0000000032,1.2.3.5. 비은행예금취급기관 지역별 여신(말잔),,2025-08-25 01:15:19
69,141Y007,1.2.3.5.1. 비은행예금취급기관 지역별 여신(말잔),M,2025-08-25 01:15:19
70,151Y006,1.2.3.5.2. 비은행예금취급기관 지역별 가계대출(말잔),M,2025-08-25 01:15:20
71,141Y010,1.2.3.5.3. 비은행예금취급기관 지역별 기업대출(말잔),M,2025-08-25 01:15:21
72,141Y009,1.2.3.6. 생명보험회사 지역별 여신(말잔),M,2025-08-25 01:15:21
73,141Y005,1.2.3.7. 예금은행 지역별 연체율,M,2025-08-25 01:15:22
74,0000000035,1.2.4. 가계신용,,2025-08-25 01:15:23
75,0000000036,1.2.4.1. 가계신용(분기),,2025-08-25 01:15:23
76,151Y001,"1.2.4.1.1. 가계신용(업권별, 분기)",Q,2025-08-25 01:15:24
77,151Y004,"1.2.4.1.2. 가계신용(용도별, 분기)",Q,2025-08-25 01:15:24
78,0000000037,1.2.4.2. 예금취급기관 가계대출(월),,2025-08-25 01:15:25
79,151Y002,"1.2.4.2.1. 예금취급기관 가계대출(업권별, 월)",M,2025-08-25 01:15:26
80,151Y005,"1.2.4.2.2. 예금취급기관 가계대출(용도별, 월)",M,2025-08-25 01:15:26
81,0000000038,1.2.5. 산업별대출금,,2025-08-25 01:15:28
82,0000000039,1.2.5.1. 예금취급기관 산업별대출금,,2025-08-25 01:15:28
83,131Y016,"1.2.5.1.1. 산업별대출금(예금취급기관, 전산업)",Q,2025-08-25 01:15:29
84,131Y017,"1.2.5.1.2. 산업별대출금(예금취급기관, 용도별)",Q,2025-08-25 01:15:30
85,0000000040,1.2.5.2. 예금은행 산업별대출금,,2025-08-25 01:15:30
86,131Y013,"1.2.5.2.1. 산업별대출금(예금은행, 전산업)",Q,2025-08-25 01:15:31
87,131Y011,"1.2.5.2.2. 산업별대출금(예금은행, 용도별)",Q,2025-08-25 01:15:31
88,131Y010,"1.2.5.2.3. 산업별대출금(예금은행, 기업형태별)",Q,2025-08-25 01:15:32
89,131Y018,"1.2.5.2.4. 산업별대출금(예금은행, 기업규모별)",Q,2025-08-25 01:15:33
90,132Y001,"1.2.5.2.5. 산업별대출금(예금은행, 지역별, 전산업)",Q,2025-08-25 01:15:34
91,132Y003,"1.2.5.2.6. 산업별대출금(예금은행, 지역별, 용도별)",Q,2025-08-25 01:15:34
92,0000000041,1.2.5.3. 비은행예금취급기관 산업별대출금,,2025-08-25 01:15:35
93,131Y014,"1.2.5.3.1. 산업별대출금(비은행예금취급기관, 전산업)",Q,2025-08-25 01:15:36
