region,bds_score,fiscal_autonomy_ratio,gdp_2023,cpi,manufacturing_index
경기도,7.028100775193798,0.605,578124,111.59,109.71666666666664
충청남도,3.35775006323907,0.336,134256,111.59,109.71666666666664
경상남도,3.3064140508180446,0.337,123721,111.59,109.71666666666664
광주광역시,3.3225559706590557,0.423,48615,111.59,109.71666666666664
부산광역시,3.7933579939868425,0.46,103284,111.59,109.71666666666664
세종특별자치시,3.8682170542635665,0.5720000000000001,15567,111.59,109.71666666666664
충청북도,3.0130925389224643,0.321,83254,111.59,109.71666666666664
울산광역시,3.840333750572707,0.498,77569,111.59,109.71666666666664
전라남도,2.6268179346456715,0.239,85319,111.59,109.71666666666664
경상북도,2.875743707583368,0.253,119278,111.59,109.71666666666664
강원도,2.545987908367404,0.254,56534,111.59,109.71666666666664
서울특별시,7.37675782187405,0.754,508134,111.59,109.71666666666664
인천광역시,4.1483856250887,0.524,111713,111.59,109.71666666666664
대전광역시,3.331877692724553,0.423,50363,111.59,109.71666666666664
제주특별자치도,2.7556320546081303,0.3329999999999999,24073,111.59,109.71666666666664
대구광역시,3.672438577903692,0.474,67890,111.59,109.71666666666664
전라북도,2.4807926130152143,0.238,58845,111.59,109.71666666666664
