region,category,per_capita_grdp,existing_bds,weighted_bds,change,grdp_weight,fiscal_weight,manufacturing_weight,service_weight
서울특별시,고소득,46491,7.38,7.85,0.47,0.25,0.25,0.25,0.25
경기도,중소득,34762,6.86,7.12,0.26,0.35,0.30,0.20,0.15
울산광역시,고소득,58255,3.71,4.95,1.24,0.25,0.25,0.25,0.25
세종특별자치시,고소득,45045,3.78,4.68,0.90,0.25,0.25,0.25,0.25
충청남도,고소득,42378,3.31,4.42,1.11,0.25,0.25,0.25,0.25
인천광역시,고소득,40271,4.04,4.38,0.34,0.25,0.25,0.25,0.25
부산광역시,중소득,29127,3.67,3.89,0.22,0.35,0.30,0.20,0.15
경상남도,중소득,33567,3.36,3.78,0.42,0.35,0.30,0.20,0.15
대구광역시,중소득,26842,3.44,3.65,0.21,0.35,0.30,0.20,0.15
충청북도,중소득,32156,3.02,3.45,0.43,0.35,0.30,0.20,0.15
대전광역시,중소득,31456,3.31,3.42,0.11,0.35,0.30,0.20,0.15
전라남도,중소득,31245,2.63,3.15,0.52,0.35,0.30,0.20,0.15
경상북도,중소득,28934,2.84,3.12,0.28,0.35,0.30,0.20,0.15
제주특별자치도,중소득,27834,2.77,3.08,0.31,0.35,0.30,0.20,0.15
광주광역시,중소득,25543,3.24,3.05,-0.19,0.35,0.30,0.20,0.15
강원도,저소득,24891,2.57,2.89,0.32,0.40,0.35,0.15,0.10
전라북도,저소득,23891,2.48,2.78,0.30,0.40,0.35,0.15,0.10
