region,year,value
서울특별시,2020,100.0
부산광역시,2020,100.0
대구광역시,2020,100.0
인천광역시,2020,100.0
광주광역시,2020,100.0
대전광역시,2020,100.0
울산광역시,2020,100.0
세종특별자치시,2020,100.0
경기도,2020,100.0
강원도,2020,100.0
충청북도,2020,100.0
충청남도,2020,100.0
전라북도,2020,100.0
전라남도,2020,100.0
경상북도,2020,100.0
경상남도,2020,100.0
제주특별자치도,2020,100.0
서울특별시,2021,102.49833333333333
부산광역시,2021,102.49833333333333
대구광역시,2021,102.49833333333333
인천광역시,2021,102.49833333333333
광주광역시,2021,102.49833333333333
대전광역시,2021,102.49833333333333
울산광역시,2021,102.49833333333333
세종특별자치시,2021,102.49833333333333
경기도,2021,102.49833333333333
강원도,2021,102.49833333333333
충청북도,2021,102.49833333333333
충청남도,2021,102.49833333333333
전라북도,2021,102.49833333333333
전라남도,2021,102.49833333333333
경상북도,2021,102.49833333333333
경상남도,2021,102.49833333333333
제주특별자치도,2021,102.49833333333333
서울특별시,2022,107.71499999999999
부산광역시,2022,107.71499999999999
대구광역시,2022,107.71499999999999
인천광역시,2022,107.71499999999999
광주광역시,2022,107.71499999999999
대전광역시,2022,107.71499999999999
울산광역시,2022,107.71499999999999
세종특별자치시,2022,107.71499999999999
경기도,2022,107.71499999999999
강원도,2022,107.71499999999999
충청북도,2022,107.71499999999999
충청남도,2022,107.71499999999999
전라북도,2022,107.71499999999999
전라남도,2022,107.71499999999999
경상북도,2022,107.71499999999999
경상남도,2022,107.71499999999999
제주특별자치도,2022,107.71499999999999
서울특별시,2023,111.58999999999999
부산광역시,2023,111.58999999999999
대구광역시,2023,111.58999999999999
인천광역시,2023,111.58999999999999
광주광역시,2023,111.58999999999999
대전광역시,2023,111.58999999999999
울산광역시,2023,111.58999999999999
세종특별자치시,2023,111.58999999999999
경기도,2023,111.58999999999999
강원도,2023,111.58999999999999
충청북도,2023,111.58999999999999
충청남도,2023,111.58999999999999
전라북도,2023,111.58999999999999
전라남도,2023,111.58999999999999
경상북도,2023,111.58999999999999
경상남도,2023,111.58999999999999
제주특별자치도,2023,111.58999999999999
서울특별시,2024,114.18083333333334
부산광역시,2024,114.18083333333334
대구광역시,2024,114.18083333333334
인천광역시,2024,114.18083333333334
광주광역시,2024,114.18083333333334
대전광역시,2024,114.18083333333334
울산광역시,2024,114.18083333333334
세종특별자치시,2024,114.18083333333334
경기도,2024,114.18083333333334
강원도,2024,114.18083333333334
충청북도,2024,114.18083333333334
충청남도,2024,114.18083333333334
전라북도,2024,114.18083333333334
전라남도,2024,114.18083333333334
경상북도,2024,114.18083333333334
경상남도,2024,114.18083333333334
제주특별자치도,2024,114.18083333333334
