region,year,value
서울특별시,1997.0,49.93333333333334
부산광역시,1997.0,49.93333333333334
대구광역시,1997.0,49.93333333333334
인천광역시,1997.0,49.93333333333334
광주광역시,1997.0,49.93333333333334
대전광역시,1997.0,49.93333333333334
울산광역시,1997.0,49.93333333333334
세종특별자치시,1997.0,49.93333333333334
경기도,1997.0,49.93333333333334
강원도,1997.0,49.93333333333334
충청북도,1997.0,49.93333333333334
충청남도,1997.0,49.93333333333334
전라북도,1997.0,49.93333333333334
전라남도,1997.0,49.93333333333334
경상북도,1997.0,49.93333333333334
경상남도,1997.0,49.93333333333334
제주특별자치도,1997.0,49.93333333333334
서울특별시,1998.0,42.225
부산광역시,1998.0,42.225
대구광역시,1998.0,42.225
인천광역시,1998.0,42.225
광주광역시,1998.0,42.225
대전광역시,1998.0,42.225
울산광역시,1998.0,42.225
세종특별자치시,1998.0,42.225
경기도,1998.0,42.225
강원도,1998.0,42.225
충청북도,1998.0,42.225
충청남도,1998.0,42.225
전라북도,1998.0,42.225
전라남도,1998.0,42.225
경상북도,1998.0,42.225
경상남도,1998.0,42.225
제주특별자치도,1998.0,42.225
서울특별시,1999.0,58.23333333333333
부산광역시,1999.0,58.23333333333333
대구광역시,1999.0,58.23333333333333
인천광역시,1999.0,58.23333333333333
광주광역시,1999.0,58.23333333333333
대전광역시,1999.0,58.23333333333333
울산광역시,1999.0,58.23333333333333
세종특별자치시,1999.0,58.23333333333333
경기도,1999.0,58.23333333333333
강원도,1999.0,58.23333333333333
충청북도,1999.0,58.23333333333333
충청남도,1999.0,58.23333333333333
전라북도,1999.0,58.23333333333333
전라남도,1999.0,58.23333333333333
경상북도,1999.0,58.23333333333333
경상남도,1999.0,58.23333333333333
제주특별자치도,1999.0,58.23333333333333
서울특별시,2000.0,72.88333333333334
부산광역시,2000.0,72.88333333333334
대구광역시,2000.0,72.88333333333334
인천광역시,2000.0,72.88333333333334
광주광역시,2000.0,72.88333333333334
대전광역시,2000.0,72.88333333333334
울산광역시,2000.0,72.88333333333334
세종특별자치시,2000.0,72.88333333333334
경기도,2000.0,72.88333333333334
강원도,2000.0,72.88333333333334
충청북도,2000.0,72.88333333333334
충청남도,2000.0,72.88333333333334
전라북도,2000.0,72.88333333333334
전라남도,2000.0,72.88333333333334
경상북도,2000.0,72.88333333333334
경상남도,2000.0,72.88333333333334
제주특별자치도,2000.0,72.88333333333334
서울특별시,2001.0,73.55
부산광역시,2001.0,73.55
대구광역시,2001.0,73.55
인천광역시,2001.0,73.55
광주광역시,2001.0,73.55
대전광역시,2001.0,73.55
울산광역시,2001.0,73.55
세종특별자치시,2001.0,73.55
경기도,2001.0,73.55
강원도,2001.0,73.55
충청북도,2001.0,73.55
충청남도,2001.0,73.55
전라북도,2001.0,73.55
전라남도,2001.0,73.55
경상북도,2001.0,73.55
경상남도,2001.0,73.55
제주특별자치도,2001.0,73.55
서울특별시,2002.0,79.95
부산광역시,2002.0,79.95
대구광역시,2002.0,79.95
인천광역시,2002.0,79.95
광주광역시,2002.0,79.95
대전광역시,2002.0,79.95
울산광역시,2002.0,79.95
세종특별자치시,2002.0,79.95
경기도,2002.0,79.95
강원도,2002.0,79.95
충청북도,2002.0,79.95
충청남도,2002.0,79.95
전라북도,2002.0,79.95
전라남도,2002.0,79.95
경상북도,2002.0,79.95
경상남도,2002.0,79.95
제주특별자치도,2002.0,79.95
서울특별시,2003.0,80.03333333333333
부산광역시,2003.0,80.03333333333333
대구광역시,2003.0,80.03333333333333
인천광역시,2003.0,80.03333333333333
광주광역시,2003.0,80.03333333333333
대전광역시,2003.0,80.03333333333333
울산광역시,2003.0,80.03333333333333
세종특별자치시,2003.0,80.03333333333333
경기도,2003.0,80.03333333333333
강원도,2003.0,80.03333333333333
충청북도,2003.0,80.03333333333333
충청남도,2003.0,80.03333333333333
전라북도,2003.0,80.03333333333333
전라남도,2003.0,80.03333333333333
경상북도,2003.0,80.03333333333333
경상남도,2003.0,80.03333333333333
제주특별자치도,2003.0,80.03333333333333
서울특별시,2004.0,81.83333333333333
부산광역시,2004.0,81.83333333333333
대구광역시,2004.0,81.83333333333333
인천광역시,2004.0,81.83333333333333
광주광역시,2004.0,81.83333333333333
대전광역시,2004.0,81.83333333333333
울산광역시,2004.0,81.83333333333333
세종특별자치시,2004.0,81.83333333333333
경기도,2004.0,81.83333333333333
강원도,2004.0,81.83333333333333
충청북도,2004.0,81.83333333333333
충청남도,2004.0,81.83333333333333
전라북도,2004.0,81.83333333333333
전라남도,2004.0,81.83333333333333
경상북도,2004.0,81.83333333333333
경상남도,2004.0,81.83333333333333
제주특별자치도,2004.0,81.83333333333333
서울특별시,2005.0,82.7
부산광역시,2005.0,82.7
대구광역시,2005.0,82.7
인천광역시,2005.0,82.7
광주광역시,2005.0,82.7
대전광역시,2005.0,82.7
울산광역시,2005.0,82.7
세종특별자치시,2005.0,82.7
경기도,2005.0,82.7
강원도,2005.0,82.7
충청북도,2005.0,82.7
충청남도,2005.0,82.7
전라북도,2005.0,82.7
전라남도,2005.0,82.7
경상북도,2005.0,82.7
경상남도,2005.0,82.7
제주특별자치도,2005.0,82.7
서울특별시,2006.0,89.29166666666667
부산광역시,2006.0,89.29166666666667
대구광역시,2006.0,89.29166666666667
인천광역시,2006.0,89.29166666666667
광주광역시,2006.0,89.29166666666667
대전광역시,2006.0,89.29166666666667
울산광역시,2006.0,89.29166666666667
세종특별자치시,2006.0,89.29166666666667
경기도,2006.0,89.29166666666667
강원도,2006.0,89.29166666666667
충청북도,2006.0,89.29166666666667
충청남도,2006.0,89.29166666666667
전라북도,2006.0,89.29166666666667
전라남도,2006.0,89.29166666666667
경상북도,2006.0,89.29166666666667
경상남도,2006.0,89.29166666666667
제주특별자치도,2006.0,89.29166666666667
서울특별시,2007.0,96.93333333333334
부산광역시,2007.0,96.93333333333334
대구광역시,2007.0,96.93333333333334
인천광역시,2007.0,96.93333333333334
광주광역시,2007.0,96.93333333333334
대전광역시,2007.0,96.93333333333334
울산광역시,2007.0,96.93333333333334
세종특별자치시,2007.0,96.93333333333334
경기도,2007.0,96.93333333333334
강원도,2007.0,96.93333333333334
충청북도,2007.0,96.93333333333334
충청남도,2007.0,96.93333333333334
전라북도,2007.0,96.93333333333334
전라남도,2007.0,96.93333333333334
경상북도,2007.0,96.93333333333334
경상남도,2007.0,96.93333333333334
제주특별자치도,2007.0,96.93333333333334
서울특별시,2008.0,103.06666666666666
부산광역시,2008.0,103.06666666666666
대구광역시,2008.0,103.06666666666666
인천광역시,2008.0,103.06666666666666
광주광역시,2008.0,103.06666666666666
대전광역시,2008.0,103.06666666666666
울산광역시,2008.0,103.06666666666666
세종특별자치시,2008.0,103.06666666666666
경기도,2008.0,103.06666666666666
강원도,2008.0,103.06666666666666
충청북도,2008.0,103.06666666666666
