year,region,fiscal_autonomy_ratio,fiscal_independence_ratio,source
2001,울산광역시,0.764,0.902,KOSIS
2001,대구광역시,0.753,0.8340000000000001,KOSIS
2001,강원도,0.298,0.8390000000000001,KOSIS
2001,전라북도,0.27699999999999997,0.773,KOSIS
2001,제주특별자치도,0.336,0.698,KOSIS
2001,전라남도,0.22,0.737,KOSIS
2001,경상남도,0.395,0.802,KOSIS
2001,인천광역시,0.777,0.858,KOSIS
2001,부산광역시,0.7440000000000001,0.8320000000000001,KOSIS
2001,서울특별시,0.956,0.956,KOSIS
2001,충청북도,0.365,0.8370000000000001,KOSIS
2001,전국,0.5760000000000001,0.8440000000000001,KOSIS
2001,경상북도,0.313,0.816,KOSIS
2001,광주광역시,0.636,0.77,KOSIS
2001,충청남도,0.305,0.7609999999999999,KOSIS
2001,대전광역시,0.7490000000000001,0.8590000000000001,KOSIS
2001,경기도,0.78,0.895,KOSIS
2002,울산광역시,0.6709999999999999,0.894,KOSIS
2002,대구광역시,0.6920000000000001,0.777,KOSIS
2002,강원도,0.28,0.831,KOSIS
2002,전라북도,0.263,0.797,KOSIS
2002,제주특별자치도,0.366,0.765,KOSIS
2002,전라남도,0.20800000000000002,0.728,KOSIS
2002,경상남도,0.363,0.795,KOSIS
2002,인천광역시,0.7440000000000001,0.8390000000000001,KOSIS
2002,부산광역시,0.6970000000000001,0.7929999999999999,KOSIS
2002,서울특별시,0.956,0.956,KOSIS
2002,충청북도,0.32899999999999996,0.833,KOSIS
2002,전국,0.5479999999999999,0.841,KOSIS
2002,경상북도,0.301,0.825,KOSIS
2002,광주광역시,0.616,0.767,KOSIS
2002,충청남도,0.284,0.7709999999999999,KOSIS
2002,대전광역시,0.736,0.847,KOSIS
2002,경기도,0.765,0.9079999999999999,KOSIS
2003,울산광역시,0.716,0.9059999999999999,KOSIS
2003,대구광역시,0.764,0.879,KOSIS
2003,강원도,0.267,0.8170000000000001,KOSIS
2003,전라북도,0.256,0.7929999999999999,KOSIS
2003,제주특별자치도,0.374,0.805,KOSIS
2003,전라남도,0.21,0.736,KOSIS
2003,경상남도,0.37200000000000005,0.802,KOSIS
2003,인천광역시,0.746,0.8390000000000001,KOSIS
2003,부산광역시,0.7490000000000001,0.8320000000000001,KOSIS
2003,서울특별시,0.9590000000000001,0.9590000000000001,KOSIS
2003,충청북도,0.314,0.818,KOSIS
2003,전국,0.563,0.8490000000000001,KOSIS
2003,경상북도,0.292,0.818,KOSIS
2003,광주광역시,0.63,0.7809999999999999,KOSIS
2003,충청남도,0.298,0.763,KOSIS
2003,대전광역시,0.736,0.853,KOSIS
2003,경기도,0.78,0.9079999999999999,KOSIS
2004,울산광역시,0.696,0.868,KOSIS
2004,대구광역시,0.732,0.8490000000000001,KOSIS
2004,강원도,0.289,0.826,KOSIS
2004,전라북도,0.259,0.778,KOSIS
2004,제주특별자치도,0.34700000000000003,0.763,KOSIS
2004,전라남도,0.21100000000000002,0.75,KOSIS
2004,경상남도,0.38299999999999995,0.807,KOSIS
2004,인천광역시,0.759,0.846,KOSIS
2004,부산광역시,0.7559999999999999,0.836,KOSIS
