id,year,max_min_gap,standard_deviation,gini_coefficient,coefficient_of_variation,top_bottom_ratio,fiscal_balance_score,mean_ratio,median_ratio,q1_ratio,q3_ratio,iqr_ratio,created_at
1,1997,0.6153882645619202,0.20302423271168854,0.19505331476913357,0.3412707292992329,2.255972305001873,0.0,0.5949066687570292,0.62297734487489,0.4001734857320008,0.7469214245618612,0.3467479388298604,2025-09-11 02:05:29
2,1998,0.5497821723434971,0.14922860531693669,0.13610610292367165,0.24123853510753307,1.7096758692259768,0.0,0.6185935644585863,0.6409242635430052,0.4987944968324901,0.702912784182931,0.2041182873504409,2025-09-11 02:05:29
3,1999,0.6908385124017076,0.210429345145757,0.21430573750145543,0.3764743334932853,2.4616229181124973,0.0,0.5589473874439044,0.5953250034751232,0.37101016329889464,0.7387638287081166,0.367753665409222,2025-09-11 02:05:30
4,2000,0.6730089127003578,0.18741345220323016,0.17815036463972556,0.3210300520583162,2.062829837045903,0.0,0.5837878759375021,0.6636851453957043,0.4822400631550665,0.6992377712253778,0.21699770807031127,2025-09-11 02:05:30
5,2001,0.6830560987518036,0.20793998671872216,0.19566862662392825,0.34766710842570975,2.350267115894288,0.0,0.598100831741911,0.6554405781999868,0.40262635274583225,0.7736240060645257,0.3709976533186935,2025-09-11 02:05:31
6,2002,0.5932157839149981,0.15564669865432432,0.13293615560920857,0.23990121572449055,1.674964140667475,0.0,0.6487949558082834,0.6702528411484227,0.5432806038012608,0.7436554700846224,0.20037486628336165,2025-09-11 02:05:31
7,2003,0.5329420115845046,0.1786703001707963,0.1502169967909872,0.2658896246851974,1.856441331254695,0.0,0.6719716889379747,0.6742471660138052,0.4922814439653461,0.8383590437485366,0.3460775997831905,2025-09-11 02:05:32
8,2004,0.7387947652436244,0.2374381133125257,0.22722479331669976,0.40130480685048253,2.7051066495503178,0.0,0.5916652610667332,0.6398612020031812,0.36229747995016953,0.7661558165366247,0.40385833658645515,2025-09-11 02:05:32
9,2005,0.75,0.19882159052396933,0.1562122369582717,0.2919450527448078,1.8575495128471278,0.0,0.6810240100138342,0.7624685937530794,0.5766212974725764,0.812011813574909,0.23539051610233264,2025-09-11 02:05:33
10,2006,0.6900911055831866,0.19031880024737405,0.17081919463155915,0.30393883020651874,1.9991139163042566,0.0,0.6261746816557043,0.6794000387380831,0.45950097114339833,0.7311719330423412,0.27167096189894285,2025-09-11 02:05:33
11,2007,0.75,0.23272450788118465,0.20772268734516408,0.368936932237559,2.4631622172887777,0.0,0.630797536234006,0.7075377681354755,0.4321266664807969,0.7969060231238247,0.36477935664302785,2025-09-11 02:05:34
12,2008,0.6734412883183891,0.20220032146438446,0.16791687630782803,0.29484770128839816,2.005417623548054,0.0,0.6857788633956725,0.7141687720342786,0.513882032469869,0.8694491377950103,0.35556710532514135,2025-09-11 02:05:35
13,2009,0.5690324438372272,0.1629507918959325,0.14175078993530832,0.24907922013792375,1.7608037506582535,0.0,0.6542127111434709,0.7071582305440737,0.5219851521669714,0.751788570369945,0.22980341820297356,2025-09-11 02:05:35
14,2010,0.6520409336398831,0.1835764456660035,0.15518286143557702,0.2726583383711938,1.828669603652745,0.0,0.6732838128577044,0.6737440557481394,0.5690668926689219,0.7933989580619526,0.22433206539303074,2025-09-11 02:05:36
15,2011,0.5726533411027659,0.17734369532769295,0.1361905655023905,0.24333710131204636,1.7266691770897098,0.0,0.7287984214962521,0.7760983203460656,0.6341759158917979,0.8632817456497041,0.22910582975790617,2025-09-11 02:05:36
16,2012,0.75,0.2652415061155822,0.23683818716890093,0.4297469255550803,2.983388966994393,0.0,0.6172039643401391,0.6665970614840006,0.31075559454617563,0.824899064667542,0.5141434701213664,2025-09-11 02:05:37
17,2013,0.6209372211915587,0.21448785613120008,0.17746403933982013,0.3131175536190898,2.101899572708376,0.0,0.6850074473695155,0.7641835634390521,0.5034630209939819,0.8835341047318916,0.38007108373790977,2025-09-11 02:05:37
18,2014,0.75,0.2344650300773607,0.17853019328223851,0.3265840627928342,2.1439324335502388,0.0,0.7179316347291924,0.760667743439045,0.5264738937092236,0.9213862056530402,0.3949123119438166,2025-09-11 02:05:38
19,2015,0.614013384003717,0.2002607861660887,0.17034873074738477,0.29792815417593016,1.9818410995822486,0.0,0.6721781186474652,0.6654318923623858,0.53622932718166,0.8366055014824313,0.30037617430077124,2025-09-11 02:05:38
20,2016,0.6814071230015122,0.2157282945693293,0.175640622851164,0.31405247780737805,2.0857013763742196,0.0,0.686917982865414,0.7449030388522402,0.4993102694658961,0.8715912763259638,0.3722810068600677,2025-09-11 02:05:39
21,2017,0.6034774023282814,0.1808872247602222,0.12970094480432914,0.23789730438982645,1.718415175925797,0.0,0.7603584463647993,0.8156831369265788,0.6263558849597178,0.9077829913231112,0.2814271063633934,2025-09-11 02:05:39
22,2018,0.6493301708165344,0.20562149109053277,0.15227801916886663,0.27923930286076,1.8907522452499868,0.0,0.7363630011390766,0.8291932807335811,0.6369604983860974,0.8728995653323557,0.23593906694625832,2025-09-11 02:05:40
23,2019,0.49174356098538236,0.1731976324760776,0.12999831120644356,0.23072993567969155,1.6986784536630344,0.0,0.7506508939373928,0.7579847500253908,0.6616143605631627,0.9064691806007454,0.24485482003758274,2025-09-11 02:05:40
