region,year,policy_type,original_ratio,new_ratio,improvement,policy_intensity
강원도,2026,population_support,0.257,0.2585,0.0015000000000000013,1.0
강원도,2027,population_support,0.257,0.26,0.0030000000000000027,1.0
강원도,2028,population_support,0.257,0.2615,0.004500000000000004,1.0
강원도,2029,population_support,0.257,0.263,0.006000000000000005,1.0
강원도,2030,population_support,0.257,0.2645,0.007500000000000007,1.0
전라남도,2026,population_support,0.237,0.2385,0.0015000000000000013,1.0
전라남도,2027,population_support,0.237,0.24,0.0030000000000000027,1.0
전라남도,2028,population_support,0.237,0.2415,0.004500000000000004,1.0
전라남도,2029,population_support,0.237,0.243,0.006000000000000005,1.0
전라남도,2030,population_support,0.237,0.2445,0.007500000000000007,1.0
전라북도,2026,population_support,0.236,0.2375,0.0015000000000000013,1.0
전라북도,2027,population_support,0.236,0.239,0.0030000000000000027,1.0
전라북도,2028,population_support,0.236,0.2405,0.004500000000000004,1.0
전라북도,2029,population_support,0.236,0.242,0.006000000000000005,1.0
전라북도,2030,population_support,0.236,0.2435,0.007500000000000007,1.0
경상북도,2026,population_support,0.243,0.2445,0.0015000000000000013,1.0
경상북도,2027,population_support,0.243,0.246,0.0030000000000000027,1.0
경상북도,2028,population_support,0.243,0.2475,0.004500000000000004,1.0
경상북도,2029,population_support,0.243,0.249,0.006000000000000005,1.0
경상북도,2030,population_support,0.243,0.2505,0.007500000000000007,1.0
강원도,2026,industry_development,0.257,0.25985,0.002850000000000019,1.0
강원도,2027,industry_development,0.257,0.2627,0.005699999999999983,1.0
강원도,2028,industry_development,0.257,0.26555,0.008550000000000002,1.0
강원도,2029,industry_development,0.257,0.2684,0.011400000000000021,1.0
강원도,2030,industry_development,0.257,0.27125,0.014249999999999985,1.0
전라남도,2026,industry_development,0.237,0.23903999999999997,0.0020399999999999863,1.0
전라남도,2027,industry_development,0.237,0.24108,0.00408,1.0
전라남도,2028,industry_development,0.237,0.24312,0.006120000000000014,1.0
전라남도,2029,industry_development,0.237,0.24516,0.00816,1.0
전라남도,2030,industry_development,0.237,0.24719999999999998,0.010199999999999987,1.0
전라북도,2026,industry_development,0.236,0.23803999999999997,0.0020399999999999863,1.0
전라북도,2027,industry_development,0.236,0.24008,0.00408,1.0
전라북도,2028,industry_development,0.236,0.24212,0.006120000000000014,1.0
전라북도,2029,industry_development,0.236,0.24416,0.00816,1.0
전라북도,2030,industry_development,0.236,0.24619999999999997,0.010199999999999987,1.0
경상북도,2026,industry_development,0.243,0.24584999999999999,0.0028499999999999914,1.0
경상북도,2027,industry_development,0.243,0.2487,0.005700000000000011,1.0
경상북도,2028,industry_development,0.243,0.25155,0.008550000000000002,1.0
경상북도,2029,industry_development,0.243,0.2544,0.011400000000000021,1.0
경상북도,2030,industry_development,0.243,0.25725,0.014249999999999985,1.0
강원도,2026,infrastructure_investment,0.257,0.26075,0.0037499999999999756,1.0
강원도,2027,infrastructure_investment,0.257,0.2645,0.007500000000000007,1.0
강원도,2028,infrastructure_investment,0.257,0.26825,0.011249999999999982,1.0
강원도,2029,infrastructure_investment,0.257,0.272,0.015000000000000013,1.0
강원도,2030,infrastructure_investment,0.257,0.27575,0.01874999999999999,1.0
전라남도,2026,infrastructure_investment,0.237,0.24075,0.0037500000000000033,1.0
전라남도,2027,infrastructure_investment,0.237,0.2445,0.007500000000000007,1.0
전라남도,2028,infrastructure_investment,0.237,0.24825,0.01125000000000001,1.0
전라남도,2029,infrastructure_investment,0.237,0.252,0.015000000000000013,1.0
전라남도,2030,infrastructure_investment,0.237,0.25575,0.01874999999999999,1.0
전라북도,2026,infrastructure_investment,0.236,0.23975,0.0037500000000000033,1.0
전라북도,2027,infrastructure_investment,0.236,0.2435,0.007500000000000007,1.0
전라북도,2028,infrastructure_investment,0.236,0.24725,0.01125000000000001,1.0
전라북도,2029,infrastructure_investment,0.236,0.251,0.015000000000000013,1.0
전라북도,2030,infrastructure_investment,0.236,0.25475,0.01874999999999999,1.0
경상북도,2026,infrastructure_investment,0.243,0.24675,0.0037500000000000033,1.0
경상북도,2027,infrastructure_investment,0.243,0.2505,0.007500000000000007,1.0
경상북도,2028,infrastructure_investment,0.243,0.25425,0.011249999999999982,1.0
경상북도,2029,infrastructure_investment,0.243,0.258,0.015000000000000013,1.0
경상북도,2030,infrastructure_investment,0.243,0.26175,0.01874999999999999,1.0
강원도,2026,institutional_reform,0.257,0.259475,0.002475000000000005,1.0
강원도,2027,institutional_reform,0.257,0.26195,0.00495000000000001,1.0
강원도,2028,institutional_reform,0.257,0.264425,0.007425000000000015,1.0
강원도,2029,institutional_reform,0.257,0.2669,0.00990000000000002,1.0
강원도,2030,institutional_reform,0.257,0.26937500000000003,0.012375000000000025,1.0
전라남도,2026,institutional_reform,0.237,0.239475,0.002475000000000005,1.0
전라남도,2027,institutional_reform,0.237,0.24195,0.00495000000000001,1.0
전라남도,2028,institutional_reform,0.237,0.244425,0.007425000000000015,1.0
전라남도,2029,institutional_reform,0.237,0.24689999999999998,0.009899999999999992,1.0
전라남도,2030,institutional_reform,0.237,0.24937499999999999,0.012374999999999997,1.0
전라북도,2026,institutional_reform,0.236,0.238475,0.002475000000000005,1.0
전라북도,2027,institutional_reform,0.236,0.24095,0.00495000000000001,1.0
전라북도,2028,institutional_reform,0.236,0.243425,0.007425000000000015,1.0
전라북도,2029,institutional_reform,0.236,0.24589999999999998,0.009899999999999992,1.0
전라북도,2030,institutional_reform,0.236,0.24837499999999998,0.012374999999999997,1.0
경상북도,2026,institutional_reform,0.243,0.245475,0.002475000000000005,1.0
경상북도,2027,institutional_reform,0.243,0.24795,0.00495000000000001,1.0
경상북도,2028,institutional_reform,0.243,0.250425,0.007425000000000015,1.0
경상북도,2029,institutional_reform,0.243,0.2529,0.00990000000000002,1.0
경상북도,2030,institutional_reform,0.243,0.255375,0.012375000000000025,1.0
강원도,2026,comprehensive_policy,0.257,0.274825,0.01782499999999998,1.0
강원도,2027,comprehensive_policy,0.257,0.29265,0.035650000000000015,1.0
강원도,2028,comprehensive_policy,0.257,0.310475,0.053474999999999995,1.0
강원도,2029,comprehensive_policy,0.257,0.32830000000000004,0.07130000000000003,1.0
강원도,2030,comprehensive_policy,0.257,0.346125,0.08912500000000001,1.0
전라남도,2026,comprehensive_policy,0.237,0.25482499999999997,0.01782499999999998,1.0
전라남도,2027,comprehensive_policy,0.237,0.27265,0.035650000000000015,1.0
전라남도,2028,comprehensive_policy,0.237,0.290475,0.053474999999999995,1.0
전라남도,2029,comprehensive_policy,0.237,0.3083,0.07130000000000003,1.0
전라남도,2030,comprehensive_policy,0.237,0.326125,0.08912500000000001,1.0
전라북도,2026,comprehensive_policy,0.236,0.25382499999999997,0.01782499999999998,1.0
전라북도,2027,comprehensive_policy,0.236,0.27165,0.035650000000000015,1.0
전라북도,2028,comprehensive_policy,0.236,0.289475,0.053474999999999995,1.0
전라북도,2029,comprehensive_policy,0.236,0.3073,0.07130000000000003,1.0
전라북도,2030,comprehensive_policy,0.236,0.325125,0.08912500000000001,1.0
