year,region_code,region,fiscal_autonomy_ratio,fiscal_independence_ratio,data_type,source
2001,00,전국,0.5760000000000001,0.0,재정자립도,KOSIS
2001,11,서울특별시,0.956,0.0,재정자립도,KOSIS
2001,21,부산광역시,0.7440000000000001,0.0,재정자립도,KOSIS
2001,22,대구광역시,0.753,0.0,재정자립도,KOSIS
2001,23,인천광역시,0.777,0.0,재정자립도,KOSIS
2001,24,광주광역시,0.636,0.0,재정자립도,KOSIS
2001,25,대전광역시,0.7490000000000001,0.0,재정자립도,KOSIS
2001,26,울산광역시,0.764,0.0,재정자립도,KOSIS
2001,31,경기도,0.78,0.0,재정자립도,KOSIS
2001,32,강원도,0.298,0.0,재정자립도,KOSIS
2001,33,충청북도,0.365,0.0,재정자립도,KOSIS
2001,34,충청남도,0.305,0.0,재정자립도,KOSIS
2001,35,전라북도,0.27699999999999997,0.0,재정자립도,KOSIS
2001,36,전라남도,0.22,0.0,재정자립도,KOSIS
2001,37,경상북도,0.313,0.0,재정자립도,KOSIS
2001,38,경상남도,0.395,0.0,재정자립도,KOSIS
2001,39,제주특별자치도,0.336,0.0,재정자립도,KOSIS
2001,00,전국,0.0,0.8440000000000001,재정자주도,KOSIS
2001,11,서울특별시,0.0,0.956,재정자주도,KOSIS
2001,21,부산광역시,0.0,0.8320000000000001,재정자주도,KOSIS
2001,22,대구광역시,0.0,0.8340000000000001,재정자주도,KOSIS
2001,23,인천광역시,0.0,0.858,재정자주도,KOSIS
2001,24,광주광역시,0.0,0.77,재정자주도,KOSIS
2001,25,대전광역시,0.0,0.8590000000000001,재정자주도,KOSIS
2001,26,울산광역시,0.0,0.902,재정자주도,KOSIS
2001,31,경기도,0.0,0.895,재정자주도,KOSIS
2001,32,강원도,0.0,0.8390000000000001,재정자주도,KOSIS
2001,33,충청북도,0.0,0.8370000000000001,재정자주도,KOSIS
2001,34,충청남도,0.0,0.7609999999999999,재정자주도,KOSIS
2001,35,전라북도,0.0,0.773,재정자주도,KOSIS
2001,36,전라남도,0.0,0.737,재정자주도,KOSIS
2001,37,경상북도,0.0,0.816,재정자주도,KOSIS
2001,38,경상남도,0.0,0.802,재정자주도,KOSIS
2001,39,제주특별자치도,0.0,0.698,재정자주도,KOSIS
2002,00,전국,0.5479999999999999,0.0,재정자립도,KOSIS
2002,11,서울특별시,0.956,0.0,재정자립도,KOSIS
2002,21,부산광역시,0.6970000000000001,0.0,재정자립도,KOSIS
2002,22,대구광역시,0.6920000000000001,0.0,재정자립도,KOSIS
2002,23,인천광역시,0.7440000000000001,0.0,재정자립도,KOSIS
2002,24,광주광역시,0.616,0.0,재정자립도,KOSIS
2002,25,대전광역시,0.736,0.0,재정자립도,KOSIS
2002,26,울산광역시,0.6709999999999999,0.0,재정자립도,KOSIS
2002,31,경기도,0.765,0.0,재정자립도,KOSIS
2002,32,강원도,0.28,0.0,재정자립도,KOSIS
2002,33,충청북도,0.32899999999999996,0.0,재정자립도,KOSIS
2002,34,충청남도,0.284,0.0,재정자립도,KOSIS
2002,35,전라북도,0.263,0.0,재정자립도,KOSIS
2002,36,전라남도,0.20800000000000002,0.0,재정자립도,KOSIS
2002,37,경상북도,0.301,0.0,재정자립도,KOSIS
2002,38,경상남도,0.363,0.0,재정자립도,KOSIS
2002,39,제주특별자치도,0.366,0.0,재정자립도,KOSIS
2002,00,전국,0.0,0.841,재정자주도,KOSIS
2002,11,서울특별시,0.0,0.956,재정자주도,KOSIS
2002,21,부산광역시,0.0,0.7929999999999999,재정자주도,KOSIS
2002,22,대구광역시,0.0,0.777,재정자주도,KOSIS
