region,year,original_ratio,new_ratio,improvement,population_effect,industry_effect,infrastructure_effect,institutional_effect,synergy_effect,total_effect,population_intensity,industry_intensity,infrastructure_intensity,institutional_intensity
강원도,2026,0.257,0.29910645704420935,0.042106457044209344,0.0,0.0,0.0007064570442093443,0.0,0.041400000000000006,0.04210645704420935,1.5,2.0,1.0,0.8
강원도,2027,0.257,0.3425270326628719,0.08552703266287187,0.0,0.0012295916883980208,0.0014974409744738532,0.0,0.08280000000000001,0.08552703266287189,1.5,2.0,1.0,0.8
강원도,2028,0.257,0.3853614634270986,0.1283614634270986,0.00033323371626636274,0.0019753767463392426,0.0018528529644929728,0.0,0.12420000000000002,0.1283614634270986,1.5,2.0,1.0,0.8
강원도,2029,0.257,0.4278163341937905,0.1708163341937905,0.0005800993250219661,0.002427718249536157,0.0020125498658031048,0.00019596675342920886,0.16560000000000002,0.17081633419379047,1.5,2.0,1.0,0.8
강원도,2030,0.257,0.4699057761760175,0.21290577617601747,0.000762981866047801,0.002702077239885585,0.002084306309041516,0.0003564107610425521,0.20700000000000002,0.21290577617601747,1.5,2.0,1.0,0.8
전라남도,2026,0.237,0.27910645704420933,0.042106457044209344,0.0,0.0,0.0007064570442093443,0.0,0.041400000000000006,0.04210645704420935,1.5,2.0,1.0,0.8
전라남도,2027,0.237,0.32252703266287186,0.08552703266287187,0.0,0.0012295916883980208,0.0014974409744738532,0.0,0.08280000000000001,0.08552703266287189,1.5,2.0,1.0,0.8
전라남도,2028,0.237,0.3653614634270986,0.1283614634270986,0.00033323371626636274,0.0019753767463392426,0.0018528529644929728,0.0,0.12420000000000002,0.1283614634270986,1.5,2.0,1.0,0.8
전라남도,2029,0.237,0.4078163341937905,0.1708163341937905,0.0005800993250219661,0.002427718249536157,0.0020125498658031048,0.00019596675342920886,0.16560000000000002,0.17081633419379047,1.5,2.0,1.0,0.8
전라남도,2030,0.237,0.44990577617601746,0.21290577617601747,0.000762981866047801,0.002702077239885585,0.002084306309041516,0.0003564107610425521,0.20700000000000002,0.21290577617601747,1.5,2.0,1.0,0.8
전라북도,2026,0.236,0.27810645704420933,0.042106457044209344,0.0,0.0,0.0007064570442093443,0.0,0.041400000000000006,0.04210645704420935,1.5,2.0,1.0,0.8
전라북도,2027,0.236,0.32152703266287186,0.08552703266287187,0.0,0.0012295916883980208,0.0014974409744738532,0.0,0.08280000000000001,0.08552703266287189,1.5,2.0,1.0,0.8
전라북도,2028,0.236,0.3643614634270986,0.1283614634270986,0.00033323371626636274,0.0019753767463392426,0.0018528529644929728,0.0,0.12420000000000002,0.1283614634270986,1.5,2.0,1.0,0.8
전라북도,2029,0.236,0.4068163341937905,0.1708163341937905,0.0005800993250219661,0.002427718249536157,0.0020125498658031048,0.00019596675342920886,0.16560000000000002,0.17081633419379047,1.5,2.0,1.0,0.8
전라북도,2030,0.236,0.44890577617601746,0.21290577617601747,0.000762981866047801,0.002702077239885585,0.002084306309041516,0.0003564107610425521,0.20700000000000002,0.21290577617601747,1.5,2.0,1.0,0.8
경상북도,2026,0.243,0.28510645704420934,0.042106457044209344,0.0,0.0,0.0007064570442093443,0.0,0.041400000000000006,0.04210645704420935,1.5,2.0,1.0,0.8
경상북도,2027,0.243,0.32852703266287187,0.08552703266287187,0.0,0.0012295916883980208,0.0014974409744738532,0.0,0.08280000000000001,0.08552703266287189,1.5,2.0,1.0,0.8
경상북도,2028,0.243,0.3713614634270986,0.1283614634270986,0.00033323371626636274,0.0019753767463392426,0.0018528529644929728,0.0,0.12420000000000002,0.1283614634270986,1.5,2.0,1.0,0.8
경상북도,2029,0.243,0.4138163341937905,0.1708163341937905,0.0005800993250219661,0.002427718249536157,0.0020125498658031048,0.00019596675342920886,0.16560000000000002,0.17081633419379047,1.5,2.0,1.0,0.8
경상북도,2030,0.243,0.45590577617601746,0.21290577617601747,0.000762981866047801,0.002702077239885585,0.002084306309041516,0.0003564107610425521,0.20700000000000002,0.21290577617601747,1.5,2.0,1.0,0.8
