region_name,period,pc_grdp,pop_growth,elderly_rate,fiscal_indep,BDS
울산광역시,2013,62653.0,1.06,7.9,70.7,1.4242928057386315
서울특별시,2013,34105.0,-0.52,11.5,88.8,1.183875950568968
경기도,2013,27492.0,1.36,9.8,71.6,1.0791876161176794
인천광역시,2013,24526.0,1.34,9.8,67.3,0.9681503440517569
대전광역시,2013,21793.0,0.55,9.8,57.5,0.6971656501520989
광주광역시,2013,20789.0,0.32,10.3,45.4,0.32737400995041666
대구광역시,2013,18946.0,-0.11,11.6,51.8,0.26808460160529096
부산광역시,2013,21217.0,-0.28,13.3,56.6,0.1359664677354476
세종특별자치시,2013,55189.0,7.92,14.7,38.8,-0.05628101844781186
경상남도,2013,30416.0,0.57,12.9,41.7,-0.09645809831052965
제주특별자치도,2013,24491.0,2.06,13.4,30.6,-0.3882526068206936
충청북도,2013,30507.0,0.61,14.1,34.2,-0.4446468756459486
충청남도,2013,45550.0,1.09,15.6,36.0,-0.5547414284782148
강원도,2013,24094.0,0.27,16.2,26.6,-0.9595696739050732
경상북도,2013,36533.0,0.17,16.8,28.0,-0.9802391915477747
전라북도,2013,23876.0,0.03,16.7,25.7,-1.0632131119146326
전라남도,2013,37264.0,-0.08,19.6,21.7,-1.5406954408496092
울산광역시,2014,60925.0,1.13,8.3,65.8,1.3148764701980744
세종특별자치시,2014,62944.0,27.46,12.7,49.1,1.2966879712010888
서울특별시,2014,35113.0,-0.18,12.0,82.1,0.8274088570994662
경기도,2014,28638.0,1.28,10.2,64.45,0.635117370301088
인천광역시,2014,26068.0,0.95,10.3,64.75,0.5845557055340886
대전광역시,2014,22497.0,-0.01,10.3,52.15,0.272120720906232
광주광역시,2014,21944.0,0.3,10.8,43.95,0.06729881834075768
대구광역시,2014,19725.0,-0.25,12.2,48.900000000000006,-0.03400280968045989
부산광역시,2014,22467.0,-0.16,14.0,54.4,-0.07879096872517044
경상남도,2014,30555.0,0.74,13.4,39.2,-0.15959807904912235
충청남도,2014,46360.0,0.92,16.0,32.9,-0.32026035061367775
제주특별자치도,2014,25968.0,2.79,13.6,32.05,-0.32270796403112795
충청북도,2014,31729.0,0.59,14.5,30.1,-0.43231610336550713
경상북도,2014,38742.0,0.21,17.3,25.9,-0.7152989846515829
강원도,2014,25676.0,0.21,16.6,24.4,-0.855689673775949
전라북도,2014,24681.0,0.03,17.2,24.9,-0.9284529305268711
전라남도,2014,36953.0,0.12,20.1,19.799999999999997,-1.1509480491613293
울산광역시,2015,62605.0,0.63,8.8,67.8,1.373707256588874
세종특별자치시,2015,49474.0,34.94,10.6,49.4,1.3579315790628828
서울특별시,2015,37236.0,-0.7,12.6,82.3,0.8216398087272587
경기도,2015,30748.0,1.43,10.5,63.65,0.6469024361345935
인천광역시,2015,27798.0,0.86,10.7,61.75,0.5328593016632356
대전광역시,2015,24094.0,-0.79,10.9,52.099999999999994,0.23890952035153476
광주광역시,2015,23139.0,-0.15,11.3,46.75,0.09382918687886949
대구광역시,2015,20991.0,-0.18,12.7,50.0,-0.0306384409149542
부산광역시,2015,23956.0,-0.11,14.6,53.9,-0.11815120610333371
경상남도,2015,32007.0,0.55,13.8,40.349999999999994,-0.1504305533188348
제주특별자치도,2015,28280.0,3.19,13.8,33.35,-0.2825269570090904
충청남도,2015,48173.0,0.82,16.4,32.8,-0.3262354994435143
충청북도,2015,34728.0,0.43,14.8,31.45,-0.3882588334601561
경상북도,2015,38510.0,0.15,17.7,27.15,-0.7340054961859894
강원도,2015,26946.0,0.37,16.9,23.7,-0.8814482910705592
전라북도,2015,25621.0,-0.04,17.8,24.85,-0.9865327184323582
전라남도,2015,38339.0,0.29,20.5,20.3,-1.1675510934684583
