region_name,period,original_bds,improved_bds,total_improvement,convergence_effect,spatial_effect,investment_effect,pc_grdp,pop_growth,elderly_rate,fiscal_indep
세종특별자치시,2022,2.133090776284285,2.133090776284285,0.0,0.0,0.0,0,37875.0,3.22,10.5,61.35
경기도,2022,0.9488885163322353,0.9488885163322353,0.0,0.0,0.0,0,39969.0,0.33,14.7,63.95
인천광역시,2022,0.8003605273373084,0.8003605273373084,0.0,0.0,0.0,0,35295.0,0.81,15.6,55.25
서울특별시,2022,0.7025948626949324,0.7025948626949324,0.0,0.0,0.0,0,51612.0,-0.7,17.6,78.6
울산광역시,2022,0.3916754573664815,0.3916754573664815,0.0,0.0,0.0,0,77511.0,-0.82,14.7,51.7
대전광역시,2022,0.2249752340195893,0.2249752340195893,0.0,0.0,0.0,0,33682.0,-0.2,16.1,44.6
광주광역시,2022,0.1393246364472322,0.1393246364472322,0.0,0.0,0.0,0,30900.0,-0.58,15.6,43.55
제주특별자치도,2022,0.0612482704631542,0.0612482704631542,0.0,0.0,0.0,0,31150.0,0.33,17.1,34.900000000000006
대구광역시,2022,-0.0744707506509461,-0.0744707506509461,0.0,0.0,0.0,0,26736.0,-0.8,18.4,49.5
충청남도,2022,-0.1819040012998499,-0.1819040012998499,0.0,0.0,0.0,0,58937.0,0.57,20.6,35.05
충청북도,2022,-0.2961219108309222,-0.2961219108309222,0.0,0.0,0.0,0,48616.0,0.17,19.9,32.45
부산광역시,2022,-0.3754347364904223,-0.3754347364904223,0.0,0.0,0.0,0,31611.0,-0.86,21.5,50.3
경상남도,2022,-0.4828595714453472,-0.5028164079964859,-0.019956836551138682,0.0,-0.019956836551138682,0,36501.0,-0.78,19.5,35.15
강원도,2022,-0.7666465800916019,-0.7851844815995093,-0.018537901507907406,0.0,-0.018537901507907406,0,34426.0,0.07,22.8,26.15
전라북도,2022,-1.0334866965006175,-1.0506903974264798,-0.017203700925862327,0.0,-0.017203700925862327,0,32464.0,-0.7,23.2,25.950000000000003
경상북도,2022,-1.053595807132318,-1.0706989625050218,-0.017103155372703824,0.0,-0.017103155372703824,0,43886.0,-0.75,23.8,27.8
전라남도,2022,-1.137638226503198,-1.1543211697790474,-0.016682943275849425,0.0,-0.016682943275849425,0,51422.0,-0.47,25.2,26.25
세종특별자치시,2023,2.133090776284285,2.133090776284285,0.0,0.0,0.0,0,37875.0,3.22,10.5,61.35
경기도,2023,0.9488885163322353,0.9488885163322353,0.0,0.0,0.0,0,39969.0,0.33,14.7,63.95
인천광역시,2023,0.8003605273373084,0.8003605273373084,0.0,0.0,0.0,0,35295.0,0.81,15.6,55.25
서울특별시,2023,0.7025948626949324,0.7025948626949324,0.0,0.0,0.0,0,51612.0,-0.7,17.6,78.6
울산광역시,2023,0.3916754573664815,0.3916754573664815,0.0,0.0,0.0,0,77511.0,-0.82,14.7,51.7
대전광역시,2023,0.2249752340195893,0.2249752340195893,0.0,0.0,0.0,0,33682.0,-0.2,16.1,44.6
광주광역시,2023,0.1393246364472322,0.1393246364472322,0.0,0.0,0.0,0,30900.0,-0.58,15.6,43.55
제주특별자치도,2023,0.0612482704631542,0.0612482704631542,0.0,0.0,0.0,0,31150.0,0.33,17.1,34.900000000000006
대구광역시,2023,-0.0744707506509461,-0.0744707506509461,0.0,0.0,0.0,0,26736.0,-0.8,18.4,49.5
충청남도,2023,-0.1819040012998499,-0.1819040012998499,0.0,0.0,0.0,0,58937.0,0.57,20.6,35.05
충청북도,2023,-0.2961219108309222,-0.2961219108309222,0.0,0.0,0.0,0,48616.0,0.17,19.9,32.45
부산광역시,2023,-0.3754347364904223,-0.3754347364904223,0.0,0.0,0.0,0,31611.0,-0.86,21.5,50.3
경상남도,2023,-0.4828595714453472,-0.3823531263971887,0.004918163448861319,0.024875,-0.019956836551138682,0,36501.0,-0.78,19.5,35.15
강원도,2023,-0.7666465800916019,-0.6082475852796074,0.006337098492092595,0.024875,-0.018537901507907406,0,34426.0,0.07,22.8,26.15
전라북도,2023,-1.0334866965006175,-0.820652317941184,0.007671299074137675,0.024875,-0.017203700925862327,0,32464.0,-0.7,23.2,25.950000000000003
경상북도,2023,-1.053595807132318,-0.8366591700040176,0.007771844627296177,0.024875,-0.017103155372703824,0,43886.0,-0.75,23.8,27.8
전라남도,2023,-1.137638226503198,-0.903556935823238,0.008192056724150576,0.024875,-0.016682943275849425,0,51422.0,-0.47,25.2,26.25
세종특별자치시,2024,2.133090776284285,2.133090776284285,0.0,0.0,0.0,0,37875.0,3.22,10.5,61.35
경기도,2024,0.9488885163322353,0.9488885163322353,0.0,0.0,0.0,0,39969.0,0.33,14.7,63.95
인천광역시,2024,0.8003605273373084,0.8003605273373084,0.0,0.0,0.0,0,35295.0,0.81,15.6,55.25
서울특별시,2024,0.7025948626949324,0.7025948626949324,0.0,0.0,0.0,0,51612.0,-0.7,17.6,78.6
울산광역시,2024,0.3916754573664815,0.3916754573664815,0.0,0.0,0.0,0,77511.0,-0.82,14.7,51.7
대전광역시,2024,0.2249752340195893,0.2249752340195893,0.0,0.0,0.0,0,33682.0,-0.2,16.1,44.6
광주광역시,2024,0.1393246364472322,0.1393246364472322,0.0,0.0,0.0,0,30900.0,-0.58,15.6,43.55
제주특별자치도,2024,0.0612482704631542,0.0612482704631542,0.0,0.0,0.0,0,31150.0,0.33,17.1,34.900000000000006
대구광역시,2024,-0.0744707506509461,-0.0744707506509461,0.0,0.0,0.0,0,26736.0,-0.8,18.4,49.5
충청남도,2024,-0.1819040012998499,-0.1819040012998499,0.0,0.0,0.0,0,58937.0,0.57,20.6,35.05
충청북도,2024,-0.2961219108309222,-0.2961219108309222,0.0,0.0,0.0,0,48616.0,0.17,19.9,32.45
부산광역시,2024,-0.3754347364904223,-0.3754347364904223,0.0,0.0,0.0,0,31611.0,-0.86,21.5,50.3
경상남도,2024,-0.4828595714453472,-0.27183984479789153,0.02979316344886132,0.04975,-0.019956836551138682,0,36501.0,-0.78,19.5,35.15
강원도,2024,-0.7666465800916019,-0.44126068895970555,0.031212098492092596,0.04975,-0.018537901507907406,0,34426.0,0.07,22.8,26.15
전라북도,2024,-1.0334866965006175,-0.6005642384558879,0.032546299074137676,0.04975,-0.017203700925862327,0,32464.0,-0.7,23.2,25.950000000000003
경상북도,2024,-1.053595807132318,-0.612569377503013,0.03264684462729618,0.04975,-0.017103155372703824,0,43886.0,-0.75,23.8,27.8
전라남도,2024,-1.137638226503198,-0.6627427018674283,0.03306705672415058,0.04975,-0.016682943275849425,0,51422.0,-0.47,25.2,26.25
세종특별자치시,2025,2.133090776284285,2.133090776284285,0.0,0.0,0.0,0,37875.0,3.22,10.5,61.35
경기도,2025,0.9488885163322353,0.9488885163322353,0.0,0.0,0.0,0,39969.0,0.33,14.7,63.95
인천광역시,2025,0.8003605273373084,0.8003605273373084,0.0,0.0,0.0,0,35295.0,0.81,15.6,55.25
서울특별시,2025,0.7025948626949324,0.7025948626949324,0.0,0.0,0.0,0,51612.0,-0.7,17.6,78.6
울산광역시,2025,0.3916754573664815,0.3916754573664815,0.0,0.0,0.0,0,77511.0,-0.82,14.7,51.7
대전광역시,2025,0.2249752340195893,0.2249752340195893,0.0,0.0,0.0,0,33682.0,-0.2,16.1,44.6
광주광역시,2025,0.1393246364472322,0.1393246364472322,0.0,0.0,0.0,0,30900.0,-0.58,15.6,43.55
제주특별자치도,2025,0.0612482704631542,0.0612482704631542,0.0,0.0,0.0,0,31150.0,0.33,17.1,34.900000000000006
대구광역시,2025,-0.0744707506509461,-0.0744707506509461,0.0,0.0,0.0,0,26736.0,-0.8,18.4,49.5
충청남도,2025,-0.1819040012998499,-0.1819040012998499,0.0,0.0,0.0,0,58937.0,0.57,20.6,35.05
충청북도,2025,-0.2961219108309222,-0.2961219108309222,0.0,0.0,0.0,0,48616.0,0.17,19.9,32.45
부산광역시,2025,-0.3754347364904223,-0.3754347364904223,0.0,0.0,0.0,0,31611.0,-0.86,21.5,50.3
경상남도,2025,-0.4828595714453472,-0.1712765631985943,0.054668163448861315,0.074625,-0.019956836551138682,0,36501.0,-0.78,19.5,35.15
강원도,2025,-0.7666465800916019,-0.2842237926398037,0.05608709849209259,0.074625,-0.018537901507907406,0,34426.0,0.07,22.8,26.15
전라북도,2025,-1.0334866965006175,-0.39042615897059185,0.05742129907413767,0.074625,-0.017203700925862327,0,32464.0,-0.7,23.2,25.950000000000003
경상북도,2025,-1.053595807132318,-0.39842958500200865,0.057521844627296176,0.074625,-0.017103155372703824,0,43886.0,-0.75,23.8,27.8
